 Service was great as I was greeted immediately by bellstaff from my taxi and the desk person greeted me with a great smile .								
 Service with a smile always !								
" So, in all, I would definitely stay hereagain, even though the service stinks, the restaurantis for rich patrons with money to blow and the peopleare snobs, the rooms make up for it ."								
" Some of the concierge staff were abit chilly at times, but the housekeeping service staff were extremely friendly and cheerful ."								
 Spend your money for a nicer hotel just off the lake or off Michigan avenue for real top notch service .								
" stayed at swissotel for 5 nights ,  just myself and two children   all the staff could not have been more welcoming, the room service was prompt and efficient and not overly expensive ."								
 Swissotel needs some training on customer service .								
 The accomodations and support services are phenomenal .								
" The bell service at the front door was nice, opening the door of the cab when we arrived and always saying hello when we were entering or leaving the hotel but the reception and concierge service was not as polite, often making us feel like we were troubling them for recommendations or when asking about buses and maps ."								
 The concierge and service line were both just okay .								
" The elevators were always quick and in service, and the views of Navy Pier as you walk off the elevators are spectacular ."								
" The fitness center has good equipment, and room service arrives even faster than they predict in their estimates ."								
 The furniture was a little worn but the hotel's service and location made up for it .								
 The hotel charges for internet service .								
" The hotel is advertised to have multiple restaurants, but that was not the case either , ,  other than room service the only option for dinner is The Palms restaurant which is very overpriced for the quality of the food ."								
" The hotel is in a great location, the staff is friendly and very service, oriented ."								
 The ideal location   coupled with great service and beautiful rooms makes for a wonder stay .								
 The internet access guest services movie selection didn't work either .								
" The internet service is reliable and fast, and the desk in the room is large ."								
" The last remark in fact goes for the whole room, the cleaning service was perfect and the room recently renovated ."								
 The lunches are reasonably priced and the service is great .								
" The maid who had provided turn, down service had also turned on the radio, so &quot Take Five&quot  accompanied the fireworks ."								
 The Menu Prices for room service Forget it !								
" The Palm resturant in the hotel had some specials Sunday night, we ate there and the food service,etc were outstanding portions are large and we shared since we are not big eaters ."								
 The person at the front desk said for room service to fill out the menu or go to the Palm restaurant and they would bill it to our room .								
 The room had not been serviced and we were not pleased .								
" The room itself had worn carpets, some scratched furniture and leaky showerhead, butthe maid service was generally prompt and efficient ."								
 The room service was a little expensive but very good .								
" The rooms are very nice , the location is excellent, but the service is Terrible !"								
" The rooms were comparable but I have to admit I loved the Fairmont service, especially the bellhops and front desk ."								
" The rooms were very clean, the service was polite and helpful, and it's near the heart of Chicago !"								
 The service truly was above and beyond .								
 The service we experienced was top notch and everyone was extremely pleasant .								
" The staff was absolutely excellent = full service, from front desk, to health club attendants, to business center personnel ."								
" The staff was wonderful, our room was very comfortable with an amazing view of the Chicago River and Michigan Ave, Room service was superb   ."								
" The worst were the clorox, like smell on that floor and the level of service provided by the staff ."								
" There is no actual Spa, its just a service they make an appointment with and they come to the hotel, , so the services are overpriced ."								
 There was no evening turndown service or complimentary bottled water .								
" There’s a reason why it’s not the Holiday Inn and I’m assuming you stay there because of the amenities they offer and the service and location and views afforded and so no, you’re not going to pay corner diner prices at an upscale hotel ."								
" They did give us an extra bed for our little girl after we requested it but having stayed in the hampton inn and suites, milwaukee the days before, i have to say the service was poorer ."								
" They had a great wine list, appetizers, and friendly service ."								
" They had fantastic service there,  pricey, but so worth it ."								
 They have demonstrated a wonderful ability to deliver consistent service and go above and beyond .								
 This is a great hotel with no customer service focus .								
 This restaurant is within the hotel but seems to operate independantly so you cannot order room service from the Palm but you can get take out and then have plates utensils delivered from room srevice .								
" To use the gym or pool was a $15 a day charge, to print our boarding passes was a $6 dollar charge and internet service was a $9 a day charge ."								
" Too bad on several days, they were not able to service the room until late afternoon ."								
 We appreciated the elegant service and manner of the staff .								
" We could not have been more pleased with the service, location, as well as the room and its view ."								
 We didnt use the parking or the gym or the pool and they have technology to remember the guests name when you call the concierge or the guest service they will address you by name .								
 We don't use the concierge services or any of the other services unless there is a problem .								
 We enjoyed the breakfast although the other evening food service was a bit skimpy .								
" We had a tiny hiccup at first, , our room wasn't getting very cool despite putting the thermostat to 60F so I contacted guest services and they sent an engineer straightaway while we were sightseeing for the day ."								
" We had breakfast included with our hotel package and the buffet was very good and the service at Geneva was top notch, but I would never pay $26 for it ."								
 we had to go up a floor and into a service area to find ice .								
 We hired a babysitter through a great nanny service .								
 We ordered room service for breakfast and were not disappointed .								
 We ordered room service for late night ice cream and fruit and also breakfast and it was prompt and very excellent food .								
" We spent last weekend at the Swissotel and were delighted with the service, the views and the amenities ."								
 We travel extensively and I can tell you that the scenario in Chicago could have been avoided had the manager taken any amount of time to use some form of customer service .								
 We were overcharged by $27 on a couple club sandwiches and drinks we ordered from room service .								
 We were very pleased with the hotel and with the service .								
" When you do find the ice, it is in a service area often cluttered with maid carts ."								
 While our lakeview room was spectacular   I was very disappointed with the room and the service at this hotel .								
" While the rooms are quite nice, I was dismayed by the snotty service I received at the Swissotel in Chicago ."								
" Why is it that a $69 motel serves free breakfasts, turns on the TV when you push power on the remote and has free internet service ."								
 You can get better customer service elsewhere for much less .								
" You'll pay hotel prices for breakfast, but the price was on par or slightly below breakfasts that we've had via room service at other hotels ."								
", followed shortly thereafter by a knock and a housekeeper telling us our sign wasn't out  the hotel's extremely limited cable service    our housekeeper didn't refill replace our shampoo or shower gel our entire stay, nor did she empty all of our trash bins at any one time  our room service on two occasions brought us cold soggy, , and very late, , food  the lobby bar closes at 9 p ."								
", with the tray charge, service charge and taxes making up the bulk of it ."								
00 through an online hotel booking service .								
"3 We had an Executive Room which granted us access to the 42nd floor Executive Lounge with day, round complimentary beverage service   and pastries, and free Internet Access ."								
"30 and they said we needed a voucher and mentioned nothing of room service, we did get the voucher and enjoyed a very good breakfast buffet in their 2nd restaurant, not the Palm like we were toldWhen we were checking out we asked why we got charged for the pool when it states the package comes with it and it says in their books in the room that its free ."								
"4 The restaurant and bar service on the ground floor was OK, but during our stay, the lobby was always really full of other guests ."								
6 Make sure to sign up for the Club Swiss Gold bonus program before your stay for better front desk service and it will strengthen your chances of a free upgrade .								
"Beautiful Hotel ,  Service Slightly Lacking ."								
"Beautiful view and bathroom, , , , terrible service and overall management ."								
Breakfast perfect and service really good .								
"Close to everything ,  underground eating, Michigan avenue shops ,  walking or short cabNegatives,  Room service expensive ,  ridiculously expensiveParking expensive ,  $52 per dayFitness center cost $15 per day"								
com $200 per night but wish we had stayed with the hilton group for our stay in chicago s they seem to be more reasonably priced and more customer service based .								
Concierge service was fine when we needed our boarding pass printed .								
excellent Hotel fantastic service unforgettable experiance !								
"Fantastic view excellent service ,  top notch !"								
great breakfast great view and great service .								
Great stay excellent housekeeping service .								
"I had a great experience here from the quality of the lobby, to the quality of the room, to the view, to the room service, to the food ."								
I send an email about the voucher to Swissotel customer service when I returned home and did not receive a response .								
"If without transport, the Swissotel is regularly serviced by the Continental Airport Express shuttle ."								
Large rooms and excellent service .								
Nice location TERRIBLE service .								
"Ordered breakfast through room service, which was great and on, time ."								
"Overall, the hotel is a comfortable business hotel, but could stand to improve its service ."								
"Service is excellent, the personnel strive to make you feel better ."								
"SERVICEEveryone was efficient, no big lines for check, in or check, out ."								
"Swissotel offered all the services extras I like , ,  lots of cabs, in, hotel bar, great views, room service, etc ."								
"the hotel was great, the service was wonderful and room service was quick ."								
The rooms were spotlessly clean and serviced each day .								
"the service staff always left our rooms clean, and even arranged my girlfreinds jewelry for her, untangling her necklaces and earrings from each other, and leaving them evenly placed on the bureau !"								
"Valet service is a joke,  takes forever to get the car, and then they stand right next to you until you tip them ."								
We found the service to be fine for our needs .								
We were disappointed that the internet service was not free .								
"While the Swissotel may not have the super high end service and ammenities   that some of the top tier hotels have, it is a very nice hotel that I would have no problems recommending to anyone ."								
