 8 10Location 11 10Amenities :							Great Price Terrific Location .	The location is absolutely wonderful .	Excellent hotel in prime location .	This hotel is in a good location .	Great location but definitely NOT a 4 star hotel .	Good hotel for the price nice location .	 Location could not be better .	Location is the only thing it has going for it .	 It's a great location VERY near the Gloucester Rd tube stop   .	" Perfect location, right around the corner from the tube ."	Excellent location shame about the service !	Excellent location and service .	Excellent service great location good value	Best location in Fisherman's Wharf .	Great location for San Francisco sightseeing	" It is in a great location, 5 minute walk to Fisherman 's Wharf promenade and 5 minute walk to a tram stop ."	 The best part of the hotel was its location .
 Collect the same rate as for Fisherman's Wharf location .							 You could not beat the location or the price .		What a great hotel terrific location !	Loved the location of this hotel !										It's in a good location by Fisherman's Wharf Pier 39 .			
 Comfortable hotel in very good location for ferries and Pier 39 .							 For the price and the location I thought this place was great .		A lovely hotel in a great location	 We were very happy with the location of this hotel .										 Great location in Fishermans Wharf .			
" Considering the rate $165 nite, and the location, 2 blocks from Fisherman's Warf, this is a terrific value ."							good location great deal on priceline .		A friendly hotel in a good location	 The hotel location was great .										Really good location for Fisherman's Wharf .			
" Exellent location for Pier39, Fishermans wharf and trams etc, with a large Safeway a block away ."							Good value in a good location .		Great location pretty good hotel	" Hotel could not have been in a better location , ,  can't be beat !"										 Perfect location on the edge of Fisherman's Wharf .			
" First, it is in a fantastic location ,  blocks from Fisherman's Wharf and within walking distance to so many things !"							"Stay here ,  you won't regret it,  great price ,  great location ."		Perfect Location and Lovely Inn	"If you are looking for a great location, I would recommend this hotel ."										Excellent location near Fishermans Wharf .			
" From the hotel we walked to Fisherman's Wharf, Pier 30, The Cannery, Ghirardelli Square, Coit Tower, Lombard Street, Chinatown, and many other locations ."							Solid Deal in a Great Location .		"Great hotel, nice location for everything !"	 The location of the hotel is very good .										" Overall, though, a great location if you want to be near the Wharf ."			
" Good location a few blocks from Fisherman's Wharf, if that's where you want to be ."							"Good Value good location ,  ideal choice ."		Loved this hotel and location !											 If you want to stay near the Wharf this is a good location  .			
 Great location near Fisherman's Wharf and a great price for a suite albeit not a huge one !							great location and reasonably priced		A great hotel in a great location											The location was good if you want to be near Fisherman's Wharf .			
 Overall an average hotel in a great location							Great location at a reasonable price		Great Hotel in a Great Location											" The location is terrific ,  two blocks from Fisherman's Wharf ."			
"Rooms were pretty standard   ,  but it's the location which sells this place ."									"Overall though, the location was great and the hotel was nice ."											It is a 2 block walk to the wharf and the location is very convenient .			
" Great location situated on the flat, no hill to climb !"									 Lovely hotel and excellent location .											This hotel is in a great location in terms of a walking distance to key Fisherman's Wharf attractions .			
" Great location, if you are doing north and east San Francisco stuff ."									 Overall though a top hotel in an excellent location .											" The location was great, just a few blocks from Fisherman's Wharf ."			
" Great location,close to everything ."									"All in all, a fantastic hotel and a great location ."											 The hotel is in a great location  you can walk to anything in the Fisherman’s Wharf area .			
" Great room, friendly staff, superb location ,  just a couple of blocks away from the hustle and bustle of Fisherman's Wharf and 2 minutes from the cable car turnaround that takes you straight to Union Square ."																				" The location is fantastic ,  just a few blocks from Fisherman's Wharf, and everything is nearby ."			
" Hotel is nice and clean, in a very convenient location, and the staff is friendly and helpful ."																				 Location is perfect for Fisherman's Wharf and adjoining areas .		The hotel is in a fantastic location just a 5 minute walk from Fisherman's Wharf and no more then 10 minutes from the cable cars and other attractions .	
" However, the Tuscan Inn has the best of all worlds,  great location, all the amenities, excellent staff, nice restaurant adjoining, and very reasonable prices ."																				" The location could NOT be better ,  we were 2 blocks from the Wharf !"		" The hotel is in a great location, Close to Fishermans wharf, Cable cars, ect ."	
 I continue to find BW's in unique places with good property locations .																							
" I don't think you could do better for location, especuially if you're visiting the city for the first time ."																							
 I highly recommend this property to anyone looking for a comfortable stay in a quality hotel in a great location .																							
" I'd highly recommend the Tuscan Inn based on location, cheerfulness of staff, aesthetics in the room and general overall service ."																							
" If you get a cheap rate here, have low expectations and are sound sleepers, then this is good for location to Fisherman's Wharf attractions ."																							
" if you want to be more center city, check out other locations in a different area ."																							
 If you want to be near Fishermans Wharf the location is great .																							
 If you're traveling to SF for the first time and have kids with you I think this is a perfect location .																							
" It has everthing you need to have a great time in a great city,  location, good service, great food  , comfortable rooms and a complimentary happy hour ."																							
" It is in a great location, the rooms are clean and comfortable and the managers wine hour is a welcome bonus ."																							
" It is in a great location, the staff is always alert and courteous, the rooms are clean, the morning coffee and biscotti are a nice touch, the happy hour is a PLUS, and the price is right  !"																							
" It is in an excellent location, which you need for such a short stay ."																							
 It is very convenient to Fisherman's Wharf and you can easily get to any other locations in the city via the Muni system .																							
 It was a very convenient location to Pier 39 and the trolley cars .																							
" It was smaller than we were used to, but the location made up for it ."																							
" It's a truely wonderful little hotel, with great people in a great location bus stop across the street, f car one block down and cable car one block up and west where you can buy a 7 day ticket for all 3 ,  who needs a car !"																							
" It's location is fantastic if you want to get to the Ballpark, to the cable car, on and off the freeway, to the wharf, etc ."																							
" Location is also great, with a couple of supermarkets within a block from the hotel ."																							
 Location is everything at this site  everything you need is right in the area .																							
" Location is excellent, walking distance to Fisherman Wharf and Chinatown ."																							
" Location is very convenient to Fisherman's Wharf, North Beach, Russian Hill, and the Embarcadero ."																							
" Location was also near Pier 39  , Ghiradelli's chocolate factory, and Alcatraz ."																							
" Location was nice for getting all around the city  we mostly walked from place to place, even to and from downtown along the Embarcadero ."																							
" location, friendly staff, beautiful rooms and comfy beds ."																							
" Location, wise, the hotel was perfect  it was within walking distance of the pier for Alcatraz and a two minute walk away from the tram as well as Lombard Street ."																							
" My boyfriend's first response was &quot wow, this is a tiny room&quot , but it was what I was expecting considering the location and that this is only a 3, star property ."																							
 My husband found this hotel on Trip Advisor and it ranked very high and we weren't disappointed at all as it is in a great location and a very nice hotel .																							
" Nevertheless, I did like this hotel,  the rooms, location, and most of the service and I would stay here again ."																							
" Nice, medium sized hotel in a good location ."																							
" Other than the small room, the location was great and very close to all the attractions of Fisherman's Wharf ."																							
" Our travel agent, Terri, suggested this place and said it had a great location and cozier feel than some other hotels ."																							
" Overall a great hotel, awesome location, felt very safe everywhere we went ."																							
" Overall, it was a good location, but an average hotel with serious noise issues ."																							
" The best thing was the location, close walk to the wharf and other places ."																							
 The BW Tuscan Inn is a very charming hotel with an excellent location if you want to be within a 5 minute walk to Fisherman's wharf and Pier 39 .																							
 The first thing I have to comment on is the great location .																							
 The hotel has the perfect location for a S .																							
 The hotel is also very noisy but I guess this is inevitable considering the location .																							
 The hotel is in the perfect location for Fishermans Wharf and the best activity in San Francisco BIKE THE BRIDGE .																							
 The hotel is very central to everything and I would stay there again for its location .																							
 The location for tourists can not be beat .																							
" The location is fabulous for getting around the Fisherman's Wharf and the concierge, Hugo and Cliff, are fantastic and full of wonderful ideas ."																							
" The location is fantastic ,  a 5 minute walk to the Wharf and close to bus and trolley stops ."																							
 The location is good and the rooms are very pretty and clean .																							
" The location is good here, but that is all the good I can say about this place ."																							
" The location is good, and the overall decor is nice, but there was nothing that I can really rave about ."																							
" The location is great and accessible to all parts of the city by bus, cable car or the &quot F&quot  train ."																							
 the location is great for pier 39 and alcatraz  remember to pre book if you want to go onto the rock as when we went it was completely booked up for 5 days  !																							
" The location is great since it is only a couple blocks to Fisherman's Wharf, the ferry for Alcatraz, Pier 39, Ghiradelli Square, cable cars, bus stops, and there is a small shopping center across the street with grocery store, etc ."																							
" The location is great, 2 blocks from FW and 5, 6 blocks from really good italian food in North Beach and Chinatown is in that area as well ."																							
" The location is great, I opted for a Fisherman's wharf stay for vacation having stayed near Union square on business in the past and I'm glad I did as it was easy walking distance to Chinatown and the touristy area of the wharf ."																							
" The location is great, if your an active person you can walk everywhere from this hotel, in fact we took a long run up the shore , , crissy field and accross the golden gate bridge ."																							
" The location is great, the hotel is very clean and nicely decorated ."																							
" The location is great, the staff very friendly and helpful, and the room was neat and clean though a bit small ."																							
" The location is hard to beat with a Safeway, Trader Joe’s, Borders, World Market and the cable car all within a block of this hotel ."																							
" The location is ideal but the car park is really expensive, so if you are ending a trip here, take your hire car back after you have unloaded your luggage and get a taxi to the airport ."																							
 The location is perfect being so close to the Wharf and Pier 39 and the Powel St .																							
" The location is perfect for the first, time visitor and Fisherman's Wharf has a lot of nice things to do and places to eat ."																							
 The location is perfect to pier 39 and surrounding areas .																							
" The location is perfect, right near the Wharf and lots of restaraunts   shops ."																							
" The location is terrific,  away from the city hassle but within walking distance to many attractions ."																							
" The location of Fisherman's Wharf area made me suspicious, as the area is very &quot touristy&quot  ."																							
" The location of the hotel is excellent ,  only a few minutes walk from the cable car terminal and adjoined by a large Barnes and Noble bookstore with Starbucks for whiling away any spare moments !"																							
 The location of the hotel provides easy walks to numerous area attractions .																							
 The location of the hotel was fantastic it takes a couple of minutes to walk to pier 39 and is right next to the tram stop to take you into the main shopping areas .																							
 The location of the hotel was within easy walking distance of Fisherman's Wharf and Ghiardelli Square .																							
" The location only 2 blocks from Fisherman's Wharf made it a perfect base for exploring the area, we were able to walk or take public transportation everywhere we went ."																							
 The location was also right next to Fisherman's Wharf and a 3 minute walk to the cable car .																							
 The location was amazing just a short walk from the cable car turn and all the main attractions at pier 39 .																							
" The location was excellent ,  near the waterfront, the aquarium, Pier 39, Giradelli Square etc and very easy walk to cable cars, trolleys and bus routes ."																							
 The location was excellent for the Whalf attractions including cruises and Tram bus tours and for the cable car into Union square .																							
" The location was excellent,  so close to all the touristy things ."																							
 The location was great as we were within walking distance to just about everything .																							
 The location was perfect for a walk to the wharf and North Beach .																							
" The location was perfect for perusing the shops at Fishermans Wharf, we had dinner at Nicks's Lighthouse ,  the food was fine but the rest rooms were in a horrendous state, which completely put us off ."																							
" The location was PERFECT just a block and a half from fisherman's wharf and in walking distance to the pier with the sea lions, ghirardelli square,   and the start of the cable car tour on the hill, and also was a block and a half from the starbucks where the streetcar stops to take you to other parts of the city ."																							
" The location was perfect, we could go anywhere and still feel close ."																							
" The locationof the Tuscan Inn is the best, right on Fishermans Wharf   ."																							
 The only good hting was the location .																							
" The room was very well appointed with quality furnishings and it was decorated in a classy and individual style, not what you normally expect from a chain hotel in a touristy location ."																							
 The rooms were large and comfortable and the location was fine if you don't mind a little walking to the Wharf and other attractions .																							
" The service was good, the wine service each evening was very nice   next to the fireplace, and the location was awesome !"																							
" The staff are so friendly and the hotel is in a great location, just 2 blocks from Fisherman's Wharf , bus and cable car station ."																							
" The staff at check, in were nice enough, but unfortunately the concierge was not very helpful, giving us wrong information about our car hire location causing us to get 2 cab rides instead of one ."																							
" The staff was friendly and helpful, the beds were comfortable, the rooms were clean, and the location was convenient ."																							
 the staff was very friendly and the location is great .																							
" The staff were helpful, it was in a great location, and was very charming ."																							
 The Tuscan Inn is in a great location in Fishermen's Wharf and our boys really enjoyed Pier 39 .																							
" The Tuscan Inn is markedly less expensive, and the location is identical ."																							
 The Tuscan Inn was perfect for us as far as location .																							
 The Tuscin Inn is a great hotel depending your room location .																							
" This hotel can trade on its location which, although a rather ugly and unappealing area full of tacky tourist shops, predictable chain restaurants and large number of tour groups, is an excellent base to explore the city ."																							
" Tuscon Inn was near the pier 39, which is a great location, checking in and out was easy ."																							
" We booked this by checking other travellers comments on Trip Advisor and were pleased with the helpfulness of the staff, the location and overall cleanliness and comfort of our room ."																							
 We couldn't have been happier with the location and our room .																							
" We enjoyed our comfortable, clean room, as well as the excellent location ."																							
" We especially enjoyed eating at Cesar’s on Bay Street, which is an Italian restaurant at the same location for over 50 years ."																							
 We found the location for few days stopover to be perfect for the top sightseeing musts .																							
" We have now stayed in three hotels in Fisherman's Wharf but the Tuscan Inn represents a good comprise of location, cost and facilities ."																							
 We loved the location and were able to walk to take a trolley to all of our desired local destinations .																							
 We loved the location as it was convenient to everything and a short walk to many attractions .																							
" We plan on visiting the city often, and we plan on staying at this location for the foreseeable future ."																							
" We thought the location was excellent, , attractions in San Francisco are not all in one spot, so no hotel will be adjacent to everything you want to see ."																							
" We were a little disappointed with the location of this hotel as although it is close to Fisherman's Wharf   Pier 39, it wasn't very busy in the nearby streets so we didn't feel like lingering in the restaurants before returning at night ."																							
" We were both delighted with the friendly staff, clean rooms and very convenient location ."																							
" we were not there a lot, but the location was great ."																							
 We were very pleased with the hotel's location right in the heart of Fisherman's Wharf North Beach .																							
 We would recommend this location for anyone who wanted to be close to all attractions .																							
" We'd stay at the hotel again since the location, facilities and price were good ."																							
" Which is a pitty, because the location was wonderful, and two of the staff members were really nice ."																							
" While the rooms were lovely for that price they were extremely small, but the location was just perfect ."																							
" Yes, the rooms were small for the money paid but the location was wonderful ."																							
"00, however that being said if you are used to staying at true Kimpton hotels this will leave you wanting, but again location and price makes this a great hotel, the wine they serve is 2 buck chuck get there early if you want to partake, there were people everywhere waiting for the pourings, so we decided to skip out on this one"																							
"A good hotel in a good location for all the tourist attractions if you're walking, taxi or by bus ."																							
A good location if you want to be walking distance to sights and transportation .																							
A nice comfortable hotel in a good location .																							
A perfect hotel a perfect location perfect staff !																							
"A perfect location, can get loud outside, but overall would recommend hotel !"																							
Again a nice quaint hotel perfect location																							
All in all a nice little hotel in a good location in Fishermans Wharf .																							
"Although there is no pool or fitness facility at location, as others have mentioned, passes are available at the front desk for $9 day for the 24 hour facility right across the street that has both gym equipment and a pool ."																							
"Big, clean comfortable room and a great location ."																							
"But if I could get a deal like this on the same hotel, I'd go back every year as we attend the same event every year, and the location and facilities were exactly what we needed ."																							
"Clean,friendly,and the location was perfect ."																							
"Courteous, responsive service and a great location !"																							
Decent suite OK price great location																							
"Everything about our stay at Best Western, Tuscan Inn was great, location to the wharf, cable cars and everything we wanted to see and do ."																							
Excellent location friendly staff clean and pleasant rooms																							
"Excellent location, close to the wharf and cable car lines ."																							
"Excellent location, very close to the Fisherman's Wharf   that made it very convenient to do the &quot tourist&quot  things ."																							
"Excellent Service ,  Great Location"																							
"Fantastic choice, 10 days at the Tuscan, location is wonderful only a couple of blocks from pier 39 ."																							
Friendly Staff Great Location !																							
Good hotel great location friendly staff .																							
Good location   avoid restaurant would not recommend																							
good location but ask for a room away from the road																							
Good Location but what's with the Check in   out staff ?																							
"Good location for most tourist sites, i ."																							
Good Location Small Rooms Some charm																							
"good location, close to fishermans wharf, pier 39, ghiradaelli square and cable car stops to union square ."																							
"Got to hotel, disappointed in the incredibly small rooms, but location is great ."																							
Great Hotel and brilliant location near Fishermans Wharf																							
Great hotel in a great location for Fisherman's Wharf																							
"Great hotel, great staff, great location not any problems what so ever ."																							
"Great Location ,  Hotel room good also"																							
"Great Location ,  Nice   Rooms ,  Helpless Concierge"																							
Great Location but not great experiance																							
Great location clean rooms we enjoyed our visit .																							
"Great location for Fisherman's Wharf and a hotel with a homely, personal touch ."																							
Great location nice atmosphere !																							
Great location service and beer .																							
Great location thought I had seen everything																							
Great location would stay here again																							
"Great location, near lots of stuff to walk too ."																							
"Great location, the concierge guy was fantastic and there is a lovely restaurant attached to the hotel that does a great breakfast !"																							
Great Place Even better location																							
great rooms fantastic location and great service !																							
"Had a very good stay at the hotel,everything clean and modern,absolutely great location for all the tourist attractions ."																							
Helpful staff and great location																							
"Highly recommend, great location, clean, quiet, friendly, nicely decorated, happy hour 5p, 6p, just tea coffee avail in am ."																							
I planned a weekend getaway and thought because of the location and Hotel chain we would receive good service .																							
"I stayed at the Best Western Tuscan Inn at fishermans wharf last year, and when i booked the room I was just glad that i got a room at a good location in S ."																							
"It's a Best Western ,  so it's not luxery, but it's a nice hotel in a great location at a great price ."																							
"Location is great, very close to the wharf, easy walk to pier 39, less than a block's walk to the Cable Cars ."																							
"Location of the hotel was ideal to explore the know attractions, with just a 2 min walk to the wharf   ferries and the famous cable cars, which transported you to union square  lombard st etc ."																							
"Location wise, it is very centralized, walkable distance to the fisherman's wharf as well as the cable cars at both Hyde and Powell Streets   ."																							
Lovely boutique hotel in convenient location																							
My husband and I stayed for two nights at the Tuscan Inn and enjoyed it's great location to Fisherman Wharf and proximity to San Francisco's streetcars .																							
"Nice hotel close to the action  however, I did not like the location ,  while it was close to the Wharf, the area of the hotel was seedy ."																							
nice hotel great location liked the little extras																							
"OK hotel,very small and tight room, nice lobby and good location if you want to be by all the tourists that get drawn to the wharf, the best part of the hotel,  the restaurant downstairs on the corner, a little pricey but good breakfeasts and dinners ."																							
perfect location comfortable room !																							
Perfect Location if you are Cruising from San Francisco																							
Perfect Location Priced A Little High																							
"Perfect location, great italian resturant  , SUPER concierege ."																							
"Phenominal Service, great room, great location ,  couldn't have asked for more ."																							
Probably the best feature of the Tuscan Inn is its location .																							
PROSThe location is wonderful .																							
"room was quiet, clean with good beds but very very smallnot a cheap hotelvalit parking was to much expencive but oke its the location"																							
"So clean, quiet, excellent location, delicious coffee bar every morning, staff helpful   friendly ."																							
The Best Western Tuscan Inn is at the perfect location in San Francisco .																							
The Fisherman's Wharf location is a bit over the top touristy .																							
The hotel itself is in a perfect location for all the attractions .																							
"The hotel was clean, in a good location and we would reccommend it to other travelors ."																							
The location  the rooms  the staff  the concierge  the Managers nightly wine reception    everything about this hotel made our holiday MAGIC .																							
"The location is 1st class , a few minutes from the Wharf and all its attractions , and close to a Safeways Supermarket   and handily placed for buses , trams and cable cars ."																							
"The location is excellent right in the centre of fishermans wharf, a few minutes walk to all the major attractions and cable car ."																							
The location is perfect for walking to most attractions .																							
The location is perfect to explore the city .																							
"The location of this hotel is great ,  close to Fisherman's Wharf, within walking distance of Ghiradelli Square, boats to Alcatraz and two cable car lines ."																							
"The location was a nice surprise as the cable cars are around the corner, buses available easily ."																							
"The location was great, walk out the doors and forward 250 yards and you're on Pier39 and Fishermans Wharf right on the sea front ."																							
"The room had a few annoying decorative items , ,  like a four, foot long round pillow carefully placed at the same location on the bed by the maid every day , ,  that seemed spawned by a marketing maven ."																							
"The room was a good size and the location, being just a couple of blocks from the Wharf was excellent ."																							
"The rooms and building are quite nice ,  location is excellent ."																							
"The travel agent booked this hotel and this was the only hotel out of 10 that I did not book myself although hotel sounded ok This was part of the deal for the airfares  Location is excellent , Rooms Ok Staff variable some very helpful others not so  ."																							
"The Tuscan Inn at Fisherman's Wharf in San Francisco is in such a great location for tourism, I'm surprised there isn't a much larger hotel here ."																							
"the tuscan inn has a good location, within easy walking distance to the wharf ."																							
The Tuscan Inn has a great location to tourist sites within San Francisco .																							
The Tuscan Inn is in a great location if you want to do the touristy things around Fisherman's Wharf but don't expect anything grand .																							
"The Tuscan Inn is in a great location, 2 blocks from the wharf, a block from the cable car, a block from the F, Line, opposite a Safeway, and next door to a nice Italian restaurant ."																							
The Tuscan Inn was in a great location a few minutes from Fisherman's Wharf .																							
This hotel is in a convenient location .																							
This hotel is in the perfect location whether you are focusing your sightseeing at the Wharf or all over town .																							
"This hotel offers a lot ,  a great location, great staff, free wine tastings and morning coffee ."																							
This hotel was clean and in a excellent location to everything .																							
This hotel was in a great location to the Wharf and other sites in the city .																							
"This was my 9th trip to San Francisco but unlike prior trips I was with my in, laws and had different criteria for the trip, they wanted to be close to all the Fisherman’s Wharf action and walking distance to the main tourist attractions, this hotel was ideal and the best value we could find in the location ."																							
"Tuscan Inn has it all, exellant location,very close to public transport, very clean, impeccable, friendly service and a supermarket opposite ."																							
Value location and  they remember your name																							
"Very clean room, great location, wonderful service and dog friendly ."																							
"very good hotel ,  great location, concierge extremely helpful, decor is nice and the maid service was excellent   ."																							
"Visited 23 to 26 Sep ,  4 nightsGreat location within walking distance of Fisherman's Wharf   ."																							
We chose this hotel for its great location .																							
We enjoyed Tuscan Inn location and large room																							
"we found a friendly staff through out the hotel great location,rooms were small but as pointed out to me all land is prime in the area and all places have small rooms ."																							
"We loved the location, , easy walking distance to the wharf and cable cars ."																							
We read reviews on many hotels looking for above average accomodations in a convenient location .																							
"We stayed at the Tuscan Inn for 3 nights at the end of May, the hotel has a great location within walking distance to the waterfront, including attractions and great restaurants ."																							
"We were very suprised when we got there ,  the location was great, just set back enough to miss the noise of the warf but within a stones throw of all the action ."																							
"We would probably stay here again, as the location is also good ."																							
"Would definately recommend this hotal as the location is perfect , only afew blocks from Fishermans Wharf ."																							
You also can't beat the Tuscan Inn for location .																							
"You can't beat the location with a stick, but the &quot suite&quot  was awfully small ."																							
 The location of this hotel is great if you are there to enjoy the tourist stuff of SF .																							
"   Clean rooms, bustling lobby, GREAT location ."																							
"  Like others, I liked the location with restaurants, Glouster tube station, small grocery stores, , , and internet cafes within easy walking distance ."																							
"  The hotel caters to airline personnel, cruise tourists, and is a good choice for someone that wants to have a safe location ."																							
" A true bargain in the London hotel market, and a very convenient location adjacent to the Gloucester road underground station ."																							
" All in all great location ,  nice restaurants nearby, nicely pitched service ."																							
" All in all, if you do not mind giving up the Euopean atmosphere, the Holiday Inn gives you a comfortable stay with the most convenient location ."																							
" All, in, all this hotel was a great choice for the price and location ."																							
" Also, the close location of the gloucester road tube stop is great for getting around all of london ."																							
" Also, the tour bus most likely will not drop you off at your hotel after the tour, but rather at Victoria Station or some location nearest your hotel as the bus driver can get ."																							
" Although in some ways I would have preferred a smaller, more authentic English hotel, we really couldn't beat the combination of price and location   ."																							
" Although the location is a bit removed from the West End, it is only a block away from the Gloucester Road underground, with three train lines that will take you almost anywhere in the city in 15 minutes or less ."																							
" Anyway it may not have the charm or history of other hotels in London, but for the price location we would   visit again ."																							
" Apart from that, the staff were friendly and the location is great ."																							
" As everyone mentions, the location was perfect for sightseeing ."																							
" As other reviewers mentioned, good location and lots around to do eat see enjoy ."																							
" As said by others, an absolutely excellent location, on tube lines that will get you to just about anywhere ."																							
" Aside from that, the location is great and the furnishings were modern and very comfortable ."																							
" Believe me, the location alone is worth the stay ."																							
" Best part of all is the location, loved the Gloucester Road tube station nearby and the South Kensington area in general, very safe to walk around in any time day or night ."																							
" Booking through Priceline led me to the Holiday Inn Kensington Forum which was inexpensive, in a great location, and clean and comfortable ."																							
 Bottom line is that I would definitely return to this property for its comfort and convenient location .																							
" brilliant, behind tube station, near local stores, restaurant, posh area, near kensington park, great central location yet quiet enough in a cul, de, sac location ."																							
" But again, the location could justify charging that price ."																							
" But it's great value for money, great location, pleasant staff, good food, and we'll be staying there again ."																							
" But we also didn't give them any hard times, so they didn't have to fake anything  ,   The location of the hotel is just perfect ."																							
 But we would definitely stay again because of the hotel's location .																							
" Can't say enough about the price, quality, location and convenience of this hotel and area ."																							
" Comfortable room with large bed but limited space as is often the case with London hotels, but I found the location excellent ."																							
" Coming from Cardiff, the location was perfect, as it was straight off the M4 and a short drive on the A4 before reaching the hotel ."																							
" Convenient to Gloucester Road tube station, , location could not have been better ."																							
 Cromwell is a pretty posh and popular location .																							
" Definitely stay here if you are on a budget ,  and even if not, it's still nice and the location is really the best !"																							
 don t stay here unless if the Kensington location is important to you .																							
" Even better is the hotel's location ,  literally a two, minute walk around the corner and you're at the Gloucester Road Tube Station and a host of small shops, pubs and eateries ."																							
" Even otherwise, no matter if it's going to cost you a bit more, I'd still recommend it, considering its location and overall standards ."																							
" Everything was clean, the staff were very friendly and helpful and the location was excellent, all at a relatively cheap cost ."																							
" Everything worked well, was in good condition and the room was quiet in spite of the hotel's busy location ."																							
 Excellent location next to Gloucester Road tube station that has 3 train lines making getting around London really easy .																							
 Fantastic location and local amenities i .																							
 Fantastic location right next to Gloucester Rd tube station .																							
 Fantastic location very close to the tube and buses .																							
" flaw location of main entrance, big signs and big flags on main street but enter from the back, tiny miserable unwelcoming cheap entrance design, confusing to first time visitors ."																							
