"  The selling point, for me, was the keyboard ."												 The keyboard is large enough to accommodate touch typing with ease .	 1 The keyboard takes a bit of getting used to .	 Actually the keyboard is much better in my opinion .	 Excellent keyboard for typing .	 I have large hands and with a little time on the keyboard I'm breezing through word processing jobs .	 The keyboard is easy to use .	 The keyboard is extremely comfortable to use .
 It did not seem to affect the use of the keyboard but it was a slight distraction .																		
" It is a bit of a pain to unplug and replug power, monitor, LAN, wireless mouse keyboard, hard drive back, up and PDA cable, but not the end of the world ."																		
" It is smaller than a standard keyboard, but after a day or two I got used to it and now I can type pretty fast with few mistakes ."																		
" It's 92% the size of a regular keyboard, and my somewhat larger, than, average male hands have adapted completely in a few weeks ."																		
" Keyboard is actually nice to work on  connected to my wireless network immediately  light, weight of course ."																		
 Keyboard is more than big enough for regular typing and keys have a nice tactile feel .																		
 Like how they made keyboard as large as possible unlike Qosmio 17  which is almost same size .																		
" Luckily, there's a keyboard shortcut to toggle it on off ."																		
 My biggest concern was how I would handle a smaller keyboard .																		
 My keyboard also seems a bit noisy .																		
" No keyboard issues on any of them, no running hot, although the adapters do get really warm ."																		
" only 10, inch screen, small keyboard and no CD, ROM ."																		
" Performance is good, screen very good, wireless very good, numerous USB ports, and keyboard layout is excellent ."																		
" The 10, inch screen is bright and has good color, and the keyboard is only slightly smaller than a regular one ."																		
" The ASUS is comfortable ,  the keyboard is normal sized, so I don't make any adjustment when typing ."																		
" The build quality is very good, and the keyboard, though small, is surprisingly comfortable and has good key response ."																		
 The cover and screen are glossy and it has a 92% keyboard which is plenty comfortable .																		
 The keyboard and buttons felt good for a small netbook .																		
 The keyboard doesn't have separation between the keys   .																		
 The keyboard feel is good but the touchpad is hard and being small I get confused with the side scroll area easily .																		
 The keyboard has a decent feel but seems more cramped than the 1005ha .																		
 The keyboard has a responsive feel and the larger keys   along with the oversize right shift key are a real plus .																		
 The keyboard is also combortable and not too small .																		
" The keyboard is comfortable to type on, it's not too small so that you have to consistently keep looking at the keyboard to find out which key you are going to press ."																		
" The keyboard is easy to type on  , the battery life is great, and I've found that I really do like the touch pad with all its features ."																		
 The keyboard is great and the screen looks good .																		
" The keyboard is not quite perfect, the screen doesn't tilt back as far as I'd like, slightly higher resolution in the screen would be nice a new model not yet available in the U ."																		
 The keyboard is now as good as the HP and Samsung netbooks .																		
" The keyboard is REALLY easy to get used to, possibly the best netbook keyboard I've ever used ."																		
" The keyboard is terrific, solid feel and full size ."																		
 The keyboard is very easy to adjust to and is very comfortable to use .																		
" The keyboard is very useable, I type on it as well as any desktop keyboard this was a must, have feature ."																		
" The keyboard isn't quite full sized of course, but very easy to get used to ."																		
" The keyboard took about 20 minutes to get used to, but i'm now typing on it very comfortably ."																		
" The keyboard, though slightly smaller than standard, is a pleasure to use ."																		
 The keyboards are 92% the size of those found on a standard computer and the machines run a little hot .																		
" The light weight, the battery life, the keyboard, the non, protruding removable battery, the bright screen, the track pad disable button and general ease of use makes it hard to beat ."																		
" The machine has the most comfortable small keyboard I've ever used, because the keys are flat and so the surfaces that your fingerpads touch are actually about the size of standard keyboards ."																		
 The most noticeable difference is the screen and keyboard functionality .																		
 The only comparable keyboards I found were those on much larger laptops .																		
" The touchpad feels great, the boot up was fast, keyboard feels comfortable, and the screen is good ."																		
" They keyboard takes some getting used to, but even still, I could not write a novel on this ."																		
" This was actually the one of the things I feared most, but turns out the keyboard is set up real nice ."																		
" to use, , clunky mouse buttons, a too, small keyboard ."																		
" Well, I'm a touch typist and very particular about my keyboard ."																		
" While I still like the keyboard style of the Toshiba better, the EEE PC has some features that are pretty awesome !"																		
" With such a great battery life, keyboard and responsive touch pad, there's really no other model that can hold a candle to this puppy ."																		
" Yes, screen is small, video card is weak, and keyboard is cramped, but this is the case for other netbooks at this price point ."																		
",  I think the new keyboard rivals the great hp mini keyboards ."																		
",  keyboard feels well laid out"																		
", Tiny and light the slightly smaller than standard keyboard is no problem for me to use, , and I'm a touch typist, , the keys themselves are a good size and feel good ."																		
"A lot of netbooks on the market have mangled the keyboard in one way or another such that if you are a touch typist, you find yourself hitting the wrong key often, which is frustrating ."																		
"Build quality is great, love the touchpad and keyboard ."																		
"For this extra amount, I was looking for the larger screen, the longer battery life and the keyboard ergonomics ."																		
I also noticed within the second or third day of use that the keyboard was loose .																		
"I found the ASUS keyboard comfortable to type quickly  it is touch, typeable after brief acclimation ."																		
"I like the feel of the keyboard, and the touchpad software control makes it easy to use without getting in my way while I type ."																		
I like the zoom in out feature on the keyboard !																		
"It was easy to set up, and I really liked the comfort of the mouse and keyboard ."																		
keyboard is actually a pleasure to use inspite of small size																		
Keyboard is not as sturdy as I would like has some minor flex																		
My advice is to visit a store to personally try the keyboard and screen size .																		
My favorite part about the Eee PC physically is the keyboard mousepad combo .																		
"Productivity wasn't a huge benefit, but I did feel the keyboard was a major selling point for the extra dough ."																		
"Since the battery life difference is minimum, the only reason to upgrade would be to get the better keyboard ."																		
"Small keyboard with some double, function keys"																		
"The fit and finish are very good, no gaps and I like the keyboard layout ."																		
The keyboard and mouse are my biggest concern for the tiny computer .																		
"The keyboard is awesome since it looks like regular one with a large backspace, and two shifts ."																		
"The keyboard is excellent and even though only 92% the size of a full size keyboard, feels like the big one ."																		
"The keyboard is generous for a netbook, but I still have some trouble typing on it ."																		
"The keyboard is just fine for my bony fingers & cruise, on writing speed ."																		
"The keyboard is smallish, but not ridiculously small ."																		
The keyboard really works for me .																		
"Windows started crashing, freezing, unable to boot, keyboard or touchpad not working, etc ."																		
