 190 hp and superior gas mileage .						 Telling me how good the gas mileage is not true .	"Car rides great, good fuel mileage ."		" It looks great, handles well, and gets good gas mileage ."
" Mileage ,  also not impressive ,  all I can get is about 24mpg, far from the 32 mpg you see on the window sticker ."									
" Mileage is decent around 24, 27 ."									
 Mileage is very good and we have already taken it on a long trip .									
 Mileage jumps on the highway to 31 32 at normal speeds .									
 Mileage looks like it will be a little less than the older V6 Hondas									
 Mileage over three tanks has been 25 .									
" Mileage so far is the big disappointment, low 20's, old Accord was never below 27mpg ."									
 My BMW 530i got better mileage .									
" My mileage, is averaging about 28 ."									
" My my, I have never experienced such smooth performance, stability, pick, up, mileage and comfort that I am enjoying with my new 2008 Honda Accord ."									
 My old Buicks had far smoother shifts at far higher mileage .									
" On top of all this, I get horrible gas mileage  in city driving I get 15, 16 mpg ."									
 Only update is after about 5k miles the fuel mileage is less than I had anticipated .									
" Otherwise the gas mileage, service intervals, drive and dependability is still pristine ."									
" poor gas mileage look close at your window sticker not the big mpg numbers but the ratings below, it tells you that you could get 17 mpg based on your driving habits ."									
 Posted mileage ratings are for those who have a heavy right foot .									
" road noise is horrible, stereo sucks, terrible gas mileage etc ."									
" Runs better than AUDI A6 ,  Better Mileage "									
" So beware, if you are trading in your V8 for a mileage vehicle, this is not it in my case ."									
" So far not super impressed with gas mileage, and comfort, well lets just say my dealership just ordered a new seat cushion for me today ."									
" So far, the reliability has been as expected, it is comfortable on my back, and the gas mileage has been pretty good ."									
 So I saved $2 K upfront and will also save down the road since the 4 cylinder gets slightly better gas mileage .									
" Some here have complained of poor gas mileage, but I've had mine almost two weeks, driven 300 miles so far in mostly city driving, and have a bit more than a quarter of a tank left ."									
 Some reviewers were complaining about gas mileage .									
" Strangely, the gas mileage is not as good as the Acura but is acceptable ."									
" SUV, wanted something with better gas mileage and something that had good resale value ."									
" The 190 hp I4 engine is powerful and smooth enough to enjoy, without sacrificing fuel mileage ."									
" The 4,  door provides the room we needed, the exterior design keeps the  sedan  from looking boring, the gas mileage is great, the price point was right, and the reliability is terrific ."									
 The Accord is better than other those car on gas mileage and reliability .									
" The Accord was quiet, was easy to drive, seemed to be the right size, and would provide decent mileage ."									
 The best gas mileage I can get is 22 mpg which is mostly highway and the car sometimes hesitates during acceleration									
 The best gas mileage I have achieved for this 4 cyl .									
 The car drives great and gets better gas mileage than my 2000 Lincoln LS V8 .									
" The car has ample power, but the gas mileage has been disappointing ."									
" The car is as big and roomy inside as my old Acura Rl, handles better and gets better gas mileage ."									
 The car is getting great gas mileage   even though I have only been driving it 2 weeks .									
" The car is very smooth for a v4, my first, but I thought that the gas mileage should be More about 38, 45 ."									
" The gas mileage has been as advertised, hitting 32 mpg on the highway when driving at 65 MPH ."									
 The gas mileage has improved from 18MPG to 21 but that still is not good .									
 The gas mileage is about 45 to the gallon going on the highway with cruise at about 800 or 900 RPM and about 38 going 70 .									
" The Gas mileage is good, the acceleration sometime is slow when cold from 1st to 2nd gear ."									
 The gas mileage on the highway is about the same for both models .									
 The manual transmission lets me control the car better and achieve higher mileage .									
" The mileage is great, and I've had to get used to stopping less for gas ."									
" The ride is excellent, and the fuel mileage is impressive so far ."									
" The trade, off is a bit lower mileage but still better than most out there ."									
" the variable cylinder management changes to 4 cyl when not under load, this helps with fuel mileage ."									
" The VCM definitely helps the mileage ,  it was very noticeable when it activated in the beginning, but is barely detectable now, except for the dash indicator ."									
 The windshield wash barely hits the windshield but I am mostly disappointed in the gas mileage .									
 There seems to be no way to shut it off and mileage is about 26 27 highway .									
 This car has great gas mileage even with the V6 .									
 Tough negotiations w 6 Wash DC dealers  city gas mileage  road noise  no keyless memory link w driver profiles  steering wheel quality and size  console storage tray  outside mirrors don ?									
 VCM works out nice for better mileage .									
" Very good mileage, getting about 28 mpg combined highway, and I have a heavy foot ."									
" Very peppy engine great fuel mileage 28, 30 combined ."									
 Wanted something with better handling and gas mileage .									
" While the mileage is not bad it good be better, but as the acceleration is good for a 4 cylinder it's a trade, off ."									
" with gas prices, wanted better mileage ."									
3 mpg as consistent full tank highway mileage .									
"5 in nob the display under the speedometer could be more helpful telling me how many miles   gallon I have, telling me how my speed affects my gas mileage ."									
5L V6 scoots  sporty handling and acceleration good  sporty leather seats  highway gas mileage  appearance package worth having  no dealer service yet  Negatives :									
After owning a Honda Accord EX   I had to go back to the Honda the gas mileage can't be beat .									
Don't buy this car if you want good gas mileage .									
"i just purchased my lx, p a couple of weeks ago, having driven a pick up for the last 25 years, i was really surprised at how much i like this car, going from a big v, 8 to a 4 is a change but the power is good, gas mileage is great ."									
"Leased in Feb 2008 as a replacement to a Pilot, which had poor gas mileage ."									
"Our 2008 Accord is very disappointing, our in town mileage is 14 ."									
"The car has met expectations, aside from the gas mileage and wind noise ."									
"There are trade offs that I have no problems with, my mileage after two tanks with mostly city driving is 21 but acceleration is very good, smooth, ride a little firm but enjoy the handling ."									
Traded in my Oddysey for better gas mileage and more comfort .									
"We bought this car with the expectations of getting a car that feels good with my bad back, gets good gas mileage, and is reliable ."									
