"   Clean rooms, bustling lobby, GREAT location ."	Great Price Terrific Location .	The location is absolutely wonderful .	Excellent hotel in prime location .	This hotel is in a good location .	Great location but definitely NOT a 4 star hotel .	Good hotel for the price nice location .		Location is the only thing it has going for it .	 It's a great location VERY near the Gloucester Rd tube stop   .	" Perfect location, right around the corner from the tube ."	Excellent location shame about the service !	Excellent location and service .
" Anyway it may not have the charm or history of other hotels in London, but for the price location we would   visit again ."	 You could not beat the location or the price .											
" Apart from that, the staff were friendly and the location is great ."	 For the price and the location I thought this place was great .											
" As everyone mentions, the location was perfect for sightseeing ."	good location great deal on priceline .											
" As other reviewers mentioned, good location and lots around to do eat see enjoy ."	Good value in a good location .											
" As said by others, an absolutely excellent location, on tube lines that will get you to just about anywhere ."	"Stay here ,  you won't regret it,  great price ,  great location ."											
" Aside from that, the location is great and the furnishings were modern and very comfortable ."	Solid Deal in a Great Location .											
" Believe me, the location alone is worth the stay ."												
" Best part of all is the location, loved the Gloucester Road tube station nearby and the South Kensington area in general, very safe to walk around in any time day or night ."												
" Booking through Priceline led me to the Holiday Inn Kensington Forum which was inexpensive, in a great location, and clean and comfortable ."												
 Bottom line is that I would definitely return to this property for its comfort and convenient location .												
" brilliant, behind tube station, near local stores, restaurant, posh area, near kensington park, great central location yet quiet enough in a cul, de, sac location ."												
" But again, the location could justify charging that price ."												
" But it's great value for money, great location, pleasant staff, good food, and we'll be staying there again ."												
" But we also didn't give them any hard times, so they didn't have to fake anything  ,   The location of the hotel is just perfect ."												
 But we would definitely stay again because of the hotel's location .												
" Can't say enough about the price, quality, location and convenience of this hotel and area ."												
" Comfortable room with large bed but limited space as is often the case with London hotels, but I found the location excellent ."												
" Coming from Cardiff, the location was perfect, as it was straight off the M4 and a short drive on the A4 before reaching the hotel ."												
" Convenient to Gloucester Road tube station, , location could not have been better ."												
 Cromwell is a pretty posh and popular location .												
" Definitely stay here if you are on a budget ,  and even if not, it's still nice and the location is really the best !"												
 don t stay here unless if the Kensington location is important to you .												
" Even better is the hotel's location ,  literally a two, minute walk around the corner and you're at the Gloucester Road Tube Station and a host of small shops, pubs and eateries ."												
" Even otherwise, no matter if it's going to cost you a bit more, I'd still recommend it, considering its location and overall standards ."												
" Everything was clean, the staff were very friendly and helpful and the location was excellent, all at a relatively cheap cost ."												
" Everything worked well, was in good condition and the room was quiet in spite of the hotel's busy location ."												
 Excellent location next to Gloucester Road tube station that has 3 train lines making getting around London really easy .												
 Fantastic location and local amenities i .												
 Fantastic location right next to Gloucester Rd tube station .												
 Fantastic location very close to the tube and buses .												
" flaw location of main entrance, big signs and big flags on main street but enter from the back, tiny miserable unwelcoming cheap entrance design, confusing to first time visitors ."												
" For a little extra money, the soon to be Crowne Plaza over the road offers far better service yet with the same great location"												
" Friendly helpful staff, clean and comfortable rooms and not to mention its great location ."												
" Gloucester Road tube station is at the westernmost side of zone 1, making it a perfect location between the airport and central London ."												
 Good points excellent location really very close to the tube and the tube is on good lines so not lots of changing .												
" Great location ,  a couple of minutes walk from Gloucester Rd underground station, and shops, restaurants, internet cafe etc"												
" Great location ,  we did what others have descibed and turned along Cromwell road and went to the other Holiday Inn in error when we first arrived ."												
 GREAT location and bargain internet price !												
 Great location and can't beat the price and the comfort !												
 Great location for tube and we crammed in a fair amount of sightseeing in a short time .												
" Great location with cafes, restaurants and grocery stores all around ."												
" Great location, close to a tube station with a 24 hour Tesco metro nearby   ."												
" Great location, close to the Underground and several excellent Pubs ."												
" Great location, freshly renovated, very small rooms, anonymous hotel, acceptable service ."												
" Great location, near Gloucester Road tube station, handy cluster of cafes, shops, couple of pubs, plus supermarket in the station complex ."												
" Great location, okay value and what you would expect ."												
" Great location, one block from the Gloucester Tube station with a number of acceptable restaurants in the area within walking distance ."												
" Having never been to London, I found it easy to get around to places of interest from this location   ."												
 Holiday Inn Kensington Forum is a perfect no fuss business hotel with fantastic location .												
 hotel but would stay again if the price was right due to the excellent location .												
 However the location was great with the underground and good restaurants   nearby .												
" I am giving a 'very good' based on staff, rates,and location ."												
" I like this hotel due to its location, but the management need to get a grip ."												
" I say  fortunate  because the location was perfect for my needs as a first, timer ."												
" I travelled during the off, season in January to London, this was my first stay at this location and I would definitely consider doing so again ."												
" I wanted a good location, above all else, and this hotel fills that need ."												
 I will NOT recommend this location .												
 I would definately recommed this hotel to anyone as it is unbeatable for price and location in London .												
 I would definitely stay here again for the location and the great customer service .												
 I would say this is a better than standard HI and the location just can't be beat .												
" If we hadn't experienced a problem with the a c I would have rated my overall stay here 5 5 for value, location, comfort, etc ."												
" If you want a reasonably priced place to stay in London in a convenient location, then this is a good choice !"												
" If you're looking for a no, frills hotel that is all about location and price, this is your place ."												
" In short, the location of the hotel made travel around London and getting to train stations to go out of London incredibly easy ."												
" Instead you get attractively appointed, decent, sized rooms  , AC that works, a modern bathroom, plumbing that doesn't gurgle and bang in the night, iron and board, bathrobe and slippers, lots of TV channels and a location that can hardly be bettered ."												
" It is a great location, the rooms are a bit basic, but clean and we actually got a pretty good view this time ."												
" It is a relatively new hotel, clean and has a great location which is close to the underground with 3 connecting lines, it gives you an advantage to go anywhere without changing lots of trains ."												
 It is in a very good location for catching the tube or the Hop On Hop Off bus tour .												
 It isn't the most central location but I found it easy enough to get into London .												
" It's a great location   ,  literally a minute's walk to Gloucester Road tube station, 5 mins walk to the Victoria   Albert Museum and the British Science Museum ."												
" It's a great location and the rooms are nice and clean and yes, a bit small but definately NOT tiny ."												
" it's a solid property, with an amazing location !"												
" Its in an easy location from the tube, just two minutes walk ."												
" Its location is probably the first thing worth mentioning, being a 10 minutes walk from the natural history museum, a 15 minutes walk from beautiful Hyde Park and just behind the corner of the Gloucester Road underground station   ."												
" It's rated 4, stars, but I also stayed at an equivalently rated Marriott while in London, and a 3, star Holiday Inn Express in Scotland, and the service and rooms were much better at the other locations ."												
" Less than a five minute walk from the tube station and within walking distance to the Museum of Natural History, really a good location ."												
" Like other reviews, the location of the hotel is great, seconds around the corner from the tube ."												
" Location can't be beat, right on bus lines, next to tube station ."												
 Location could not have been better with the Gloucester Road tube station just a few minutes' walk from the hotel .												
 Location is excellent to the tube stations .												
" Location is great, hotel is wonderful, and price is right, it really is hard to beat right now ."												
 Location is very close to Gloucester Road Tube so easy to get into central london for the tourist sites .												
" Location of hotel is great, next to Gloucester Road tube, close to museums, short hike to Buckingham Palace etc ."												
" Location wise, the tube station   is just around the bend and key restaurants Bugis St ."												
" Lovely hotel, terrific location, wonderful helpful staff, immaculately clean rooms ."												
" Maybe I'm being a little harsh so if you can get this hotel at a good rate it is probably just about worth it, as it has an excellent location ."												
 Mother was very pleased with the location and convenience .												
" No noise problems   and a nice, convenient location ."												
" Not too easy to find rooms for more than two people in London unless you compromise on a few things, such as cost, location etc ."												
" Nothing fancy but we were quite happy with the location of the hotel, just like most who have stayed at the hotel before ."												
 On a positive note the location is great and the overworked staff did their best however if visiting London their are definitely better options such as the NH which is just around the corner .												
" One good aspect of this hotel was the location, it is about 2 blocks to the tube station, shopping and eating ."												
 One of the best features of this hotel is the LOCATION .												
" Other reviewers are right, the entrance is in a bizarre location but once you figure it out, it's fine ."												
" Other than room size, we were very happy with the hotel, especially its location ."												
" Otherwise, really great location with the refrige being key ."												
" Our parents who are 55, 70 were able to wonder around the entire city by themselves due to the ideal location of this hotel ."												
" Overall an above average hotel based on location and price   but not one for a romantic get, away !"												
 Overall good hotel and very good location close to the tube   .												
" Overall, for the money, location, and for the piece of mind knowing that its going to be clean and comfortable, look no further ."												
" Overall, I would recommend this hotel to friends, and would probably stay here again, because it was such a great location and clean ."												
" Overall, we felt this hotel was in a convenient location and a good deal for a London hotel ."												
" Overall, we found the hotel only good for location and decent room if somewhat cold just like the weather was in London then ."												
" Perfect if you are going to see the sights in London, , great location to get around from, , right downtown ."												
" Pleasant staff, clean hotel, comfortable beds, with a great location ."												
" Right off of the Piccadilly and Circle tube lines, the location is excellent ."												
 Service was great and the location of the hotel was very convenient   .												
" Since this location is the designated layover site for American Airlines, there were tons of pilots and flight attendants everywhere, but that added to the  familiar  feeling of having Americans around ."												
" Still, if you're just looking for a cheap place to lay your head, the Holiday Inn Kensington Forum is a great location ."												
 The best thing was the location .												
" The biggest advantage of this hotel is it's excellent location just off of Gloucester Road in Kensington, with the Undergroud one block away, along with several nice restaurants and pubs in the area ."												
" The breakfasts were excellent and the location is great for viewing London by bus, on foot and by tube  , which is just at the end of the road ."												
 The convenient location and competitive rates finally sold us on a repeat visit .												
" The Forum Holiday is a big high rise and right across the street, is another Holiday Inn, albeit it much smaller which tends to confuse people looking for that 2nd location hotel ."												
 The hotel has a great location with easy access to most of London's tourist sites .												
" The hotel is clean, modern, and in an excellent location ."												
 The hotel is in a very good location for touring London .												
 The hotel is in an excellent location only a short walk to Gloucester Rd .												
" The hotel is in an ok location ,  close the the Gloucester Rd tube station ."												
" The hotel is set in an absolutely ideal location, offers great rates, and excellent conceirge   ."												
 The hotel's location is perfect for sightseeing and shopping   and the Tube .												
 The location and American standards   are nice touches .												
 The location close to a tube station and a grocery store is ideal .												
" The location could not be better ,  one block from the intersection of Cromwell and Gloucester Roads, with the Glouster Road tube stop ."												
 The location could not be better and best of all it was so clean .												
" The location could not have been better with being so close to the Underground station and near good restaurants, grocery stores, post office, pharmacy, Internet cafe ."												
" The location in South Kensington is excellent as the Gloucester Road tube station is just around the corner and is served by 3 main lines, , District, Circle and Piccadilly ."												
" The location in the Kensington area could not have been better, the area is safe, nice and fairly quiet ."												
 The location is a block away from the underground station on the Picadilly Line direct from Heathrow Airport .												
 The location is also good because it is literally 150 footsteps   from Gloucester Road Underground Station .												
" The location is excellent ,  near to the Tube and walking distance of a lot of attractions ."												
 The location is excellent being a few minutes walk from Gloucester Road tube station with its good connection to Heathrow airport and to central London .												
" The location is excellent, just a half a block from the Glouster Rd ."												
" The location is excellent, just a short walk from the Gloucester Road tube station and in a lovely neighborhood ."												
" The location is fab ,  near the Gloucester underground station and the Waitrose grocery store ."												
" The location is fantastic, , you're literally around the corner from the Tube station  there's a Sainsbury's supermarket right above the aforesaid Tube station   ."												
" The location is great ,  very close to Gloucester Road Tube, with Waitrose supermarket, coffee shops and restaurants nearby ."												
 The location is great and very convenient .												
" The location is great however, only 5 mins walk from the Gloucester Road tube and 10 mins walk to the South Kensington museums, Albert Hall, etc ."												
 The location is great though to get to the Tube and sites around West london and i got a good rate for the room .												
 The location is ideal for travel all over the city via the Underground .												
 The location is in a good location near the tube and only a few minutes by cab to central London   .												
" The location is incredibly convenient, with lots of restaurants and easily walkable to the tube ."												
" The location is just around the corner from the tube, Boots and Waitrose   right next door, close to many restaurants including fast food if you like ."												
" The location is perfect, very central and very near the subway ."												
" The location is right next to the Picadilly line tube stop, so it is very convenient to get around town and also to the airport ."												
 The location is superb with the tube and bus stops literally steps away .												
" The location is terrific for museum, going and the Royal Albedrt Hall is an easy walk away if you enjoy concerts ."												
 The location of the hotel is fine and actually the hotel is not extremely bad but it is extremely EXPENSIVE .												
 The location of the hotel is great because it's about a block from the Gloucester Road Tube Station which is on several Tube lines .												
" The location of the hotel is, as stated earlier, absolutely fine and well within walking distance of the V A, Natural History Museum, Science Museum and Hyde Park ."												
 The location to the Gloucester Road tube station was very handy .												
 The location was great too as it was next to the tube .												
 The location was ideal for getting around London .												
 The location was only a five minute walk from the Gloucester Road Tube stop .												
" The location was perfect, just a minute from the Gloucester Rd ."												
 The main reasons are location and the quality of the air conditioning .												
" The one standout is location , ,  it's only about a block from the Gloucester Rd tube station, which is on the Picadilly line that connects to Heathrow, so being on the west side of London, it's a shorter ride to and from aiport and a very short walk to your hotel with no changes, and then you are close to public transport for the rest of your stay ."												
" The positives about the place are the views from the windows if you have an upper floor room, and the location next to Gloucester Road tube station and a small shopping area ."												
" The positives, great location, just a few minutes from a tube station which makes touring easy and with a travelcard taking midday breaks is easy ."												
 The price is moderate for the service and the location .												
" The price, the space, the location and the service were the exactly right thing we wanted ."												
" The public areas are fine if bland, the rooms comfortable if slightly cramped, the location good for tube and bus but just a little 'distant' ."												
 The raves about the location are well deserved .												
 The room is a tad small but is super clean and great location .												
 The rooms are a standard European size   but they are kept spotlessly clean and the hotel couldn't be in a better location .												
 The tube station is right there and the location is great for getting around London .												
" There was a lot of road noise, but this is only to be expected, given the location ."												
" This being our first ever visit to UK, must say the location of the hotel, just 2min walk from Glousceter Rd tube stn was a great advantage as even during the weekend, Piccadely line remained open, though distict and central lines had some restrictions on a c of maintainence etc ."												
 This hotel provided that and a great location to boot !												
" This is definitely a modern hotel, no English charm here, but the location and the price can't be beat ."												
 This was our first trip to London and we found the location to be excellent .												
 Turned out to be this excellent property in a prime location .												
" very good location, next to underground station, very near to city center ."												
 We chose it due to its location i .												
 We could not have been happier with the location or the room for the price .												
 We liked the location and decided to stay again .												
" We wanted something more spacious, but this hotel had extremely convenient location and good reviews, so we decided to stay there ."												
 We were easily able to navigate the city from this location .												
 What you are really paying for at this hotel is location and in hotel restaurants .												
" When I approached one stewardess, she assured me that her airline used Holiday Inn Kensington Forum on a regular basis because of its location ."												
" Would definitely recommend this hotel if only for the fair price I got on priceline combined with the great, convenient location, which made it easy to get to all the touristy sites in London ."												
" Yes, the standard rooms are small for two people   and, yes, they seem to have a lot of trainee staff at the front desk, who struggle sometimes with the language, and yes some of the rooms are affected by traffic noise, but for a good location and a no, frills room provider, it is hard to beat ."												
",  checked us in at 11 am after a transatlantic flight,  room larger than average, compared to our continental Europe travel,  location, location, location  ."												
",  Great location  ,  Very good selection of food for breakfast buffet ."												
",  very clean,  quiet,  bathrooms appear to have been updated recentlyThe hotel location is great ."												
A decent hotel with a great location .												
"A Great Location, Friendly And Polite Staff, First Class Breakfast And Rooms As Described Above Will Have Me Returning Again And Again ."												
"All in all a clean room, great location near hyde park and all the stuff in kensington chelea, near tube station , quiet area ."												
"All in all, a normal chain hotel on a nice location  , I will be back if I do not find anthing closer to Picadilly for a better price ."												
"Also it is perfect for the Gloucester Road tube station with direct trains to Heathrow airport terminals,very good location turn right as you exit the station the hotels a 3 minute walk on your right hand side ."												
"Another plus is its location ,  convenient to the tube, museums, shops, etc ."												
"Apart from the location, the hotel was really not up to standard ."												
"As also said before, location is excellent, very near the tube stations, plenty of delis and eating places nearby and a supermarkets for any snacks we wanted for the room ."												
average hotel in a good location .												
Awesome location comfortable rooms .												
"b basis Hotel huge ,  900 rooms Buffet breakfast good for a buffet This is a well run hotel with a great location for the metro  Rooms a bit on the small side but I would stay again"												
"Can't beat the location, rooms, value and view !"												
"Clean rooms, great location, close to the Gloucester Tube entrance ."												
Convenient Location for Tourists .												
Convenient location Great Concierge service .												
Decent rooms and good location .												
Efficient hotel with a good location .												
Excellent Hotel Excellent location Would definately stay again !												
Excellent location but a couple of problems .												
Excellent location but rooms far too hot .												
Excellent location clean but small .												
excellent location friendly staff .												
Excellent location in the nice and relatively quiet area 100m from Tube station and shops restaurants .												
Excellent location service cleanliness and price at the Holiday Inn Kensington Forum .												
"First and foremost, the good, yes it has good location, a block away from Gloucester Road Tube Station ."												
"For a similarly good location  , you can stay at the London Hilton Metropole for the same price and receive much better service ."												
"For our purposes, the hotel was perfectly adequate ,  the location was good and the room was clean and quiet ."												
"Geat location, clean, relatively quiet inside the rooms, somewhat confortable ."												
"Good location ,near the tube  ."												
Good location but need upgrade .												
Good location clean and comfortable .												
Good Location Horrible Service Disgusting Procedures .												
"Good location if you want to be near the Piccadilly line to Heathrow  , but otherwise very average ."												
Good Location New Room Bad Service  .												
Good location one excellent concierge but problems .												
Good price   location but no thrills .												
Good Price Great Location Would definately stay there again !												
Great choice in a great location .												
Great location  great breakfast  bathrooms tiny .												
"Great location ,  but executive room not worth it !"												
"Great Location ,  Just fine for our stay ."												
Great location and above average rooms .												
Great Location and great business hotel .												
Great location but don't bring the car !												
Great location but not sure it's worth the money .												
Great location clean and quiet .												
Great Location clean good place to stay !												
GREAT LOCATION COMFORTABLE HOTEL .												
Great location for all London has too offer .												
Great location for first time traveller .												
Great Location for Sightseeing .												
Great location for the tube and bus !												
Great location for vacationer .												
great location good but large tourist hotel .												
great location great breakfast !												
Great Location Nice Rooms Friendly Staff .												
Great location pub in the ground floor .												
"Great location, 1 min from Gloucester Tube ."												
"Great location, grocery store open 24 hours within 5 mins walk and friendly international staff, will stay here again ."												
"Great Location, Very Clean Miami FL ."												
Great room fabulous price wonderful location !												
Great stay friendly service great location .												
Holiday Inn KF has a location that cannot be beat .												
Hotel was super average nothing great about it at all except the location .												
"I do recommend the hotel ,  it was clean, excellent location, there was ice on the top floor along with one microwave, etc ."												
"I have stayed in a few hotels in London while touring but it would be difficult to find a better location in London for the tourist class who is looking for value, efficiency and cleanliness ."												
I really love the location of this hotel .												
"I will say this hotel is in a wonderful location, right across from the gloucester tube station and only a stop or two away from Notting hill, Harrods, and Kensington High street ."												
"In London its often hard to find good location and good customer service in the same place ,  The Holiday Inn Kensington Forum did that for me and I couldn't ask for more ."												
Its saving grace is its location .												
"LOCATION ,  this hotel is located around the block from the Gloucester tube station   and a few ATM machines ."												
Location great but hotel dated .												
"Location is fantastic ,  both on bus line and underground, with many useful stores on Gloucester Rd ."												
"Location is great, 5 mins walk to the Natural History Museum, 15 to Kensington High St and 2 mins to the tube and in a high room you can see for miles   ."												
Location is not very good since one has to travel by tube to shop or sightsee .												
Location is so convienent to the tube and grocery .												
"Location was excellent with close proximity to tube station We will definitely stau here again , good value"												
"Location was great being only a few yards from the Gloucester Road tube on Piccadilly, Circle and District lines and was therefore an ideal base for our sight seeing visit ."												
"Location wise it is a 5 min walk to the tube and you are on the circle, district and picadilly line ."												
"LOCATIONA block from Gloucester Road Tube which is conveniently on the Piccadilly, District   Circle lines ."												
"Nice clean rooms, good value, and average location near a tube station, but the rooms directing towards the main street outside are all VERY noisy ."												
Nice hotel with great location for transportation .												
Nice location by Glouchester tube stop .												
Not impressed at all and will not stay again despite good location .												
On the positive side the location of Holiday Inn Forum was very handy for a conference I was attending .												
Our main focus before booking was looking for a low price with good location .												
"Outstanding location, even an internet cafe nearby ."												
Perfectly adequate  excellent location .												
"Room ,  clean, good size, everything you need is in the room including the coolerLocation ,  within every attractions, short walk or you can take the double decker just across the street ."												
"Since everyone starts with the good that I agree with ,  great location, very clean, I'll state the not, so good ."												
"So many employees, a wonderful location, an impressive building ."												
Some positives are that it is in a good location for the tube .												
"Stayed at this hotel, for one night, as the location was ideal for our night out at the Royal Albert Hall   ."												
"Stayed between Xmas and New Years and the room, location, etc were what to expect for the price I paid ."												
Terrific location wonderful staff excellent pub !												
The best feature of this hotel is it's location .												
The best part about the hotel is the great location in Kensington .												
"The breakfast we had 1 morning was to say the least quite incredible there was so much variety, there was also no complaint in this area with the staff they were right on the ball   helpfulThis hotel while being high rise had some low moments for us as we felt some areas were really lacking but the hotels location is superb and staff like Peter did try and make your stay worth while ."												
"The good thing about this hotel is its location, you are a 10 minute walk from Harrods and £13 taxi ride to Covent Garden which will take you past all the tourist attractions :"												
"The Holiday Inn Kensington Forum benefits from a fantastic location, right next to Gloucester Road Tube   or to Paddington Station for the Heathrow Express ."												
The Holiday Inn Kensington Forum has a fantastic location for a city break in London .												
"The hotel itself is truly in a great location ,  on the same road as the major London museums it took a leisurely 5, 10 minutes to stroll to the wonderful Natural History Museum   a further 5, 10 minutes up the road to Harrods ."												
The Hotel location was absolutely perfect for sightseeing and shopping .												
"The hotel was a great location just 1 block from Tube, Grocery Stores, Pharmacy and 2 blocks from Natural History and Victoria   Albert Museums ."												
"The hotel was clean, the beds were comfortable and the location was great ."												
"The hotel's location is the best thing about it ,  near the tube stop, museums and Kensington High Street ."												
The location is fantastic near Gloucester Station which was very handy for all our needs in transport !												
The location is great but there are many hotels in the same area so I might try out others but would certainly consider coming back .												
The location is perfect with many everything you need just outside the door including a great French patisserie and coffee shop .												
"The location is South West London and a healthy but doable walk from landmarks like the Museum of Natural History, Albert's Hall, Kensington Gardens, and Harrods ."												
"The location of the hotel is excellent ,  one block from the tube Gloucester Rd and the surrounding neighborhood is fantastic ,  take a walk from High Street Kensington to the hotel ,  I'd love to live there !"												
"The location of the hotel is excellent, in a very nice area right next to the Gloucester Road tube station and direct on the picadilly line from Kings cross ."												
"The location of the hotel is superb ,  2 minutes walk from Gloucester Road tube   ."												
"The location of the hotel was excellent, a 5 min stroll from Gloucester Road tube, next to tesco express and a large supermarket just around the corner ."												
"The location of this hotel is it's best feature ,  two blocks from the tube on lines that run to most major attractions ."												
The location was excellent with a number of good eating options locally and Garfunkels and Ask Pizza located in a complex within a very short walking distance for kids   who want something easy .												
"the only reason to choose this hotel is its location, for other aspects, not up to standard for its price ."												
"The positives were the location, a block from the Gloucster Rd ."												
"The saving grace of this hotel, is the friendly staff and its location in Kensington ."												
"The top feature of The Holiday Inn Kensington Forum is its location, in a superb area of London that's clean, safe and interesting ."												
"This hotel is in a very convenient location, just a block and a half from the Gloucester Road tube station ."												
"This hotel is in a very good location ,  tube, buses, restaurants, shopping and museums all within very easy walking distance ."												
This is a good basic hotel which has a terrific location .												
This is an awesome location right near the Gloucester Road tube stop .												
This is our 2nd time at the Kensington Forum and love the location .												
This was my second stay at this location in the past one year .												
This was our second stay stay at this hotel based on it's location .												
"Tower block hotel in fantastic location near good shops, bars and restaurants ."												
Very convenient location one block from Gloucester Road tube station .												
"We enjoyed our trip to London ,  and the location for the Holiday Inn Kensington Forum was terrific ."												
"We thought this modern, efficient hotel was excellent value for such a great location in the heart of London ."												
"Well, after all, as I said, great location, great view, NOTHING ELSE !"												
"went for a city break with the family hotel good location harrods 20 mins walk,royal albert hall 10 mins,and under ground around the corner,plenty to see and do around hotel ."												
"We've stayed at this hotel before and it's always been a great choice for it's location, cleanliness and staff ."												
"We've stayed in London a lot and booked this hotel for one night due to a number of factors ,  the location, the price   the availibility of a room to accomodate three adults ."												
"Which leads us to ,  location, this hotel's best feature ."												
"With a kid and a stroller, this definitely is a very convenient location ."												
"Would recommend the Holiday Inn Kensington Forum for location, price  , and cleanliness ."												
"Yes I do stay here a lot and as such, guess that I get extra special treatment but it is in a great location with the tube within a 2 min walk surrounded by places to eat and drink and far enough out of central London to be quiet but you can still be in the west end in 15 minutes ."												
 Great location close to Gloucester Road tube stop .												
