 I get fabulous sound and all data about the music displays on my stereo display .									
 I have a Bose system in my car and when I plug in the ipod it seems to magnify the sound from the ipod speaker instead of enhancing it through the Bose system .									
 I have used the video camera nd the sound is good considering and the picture is									
" i was surprised, b c thats one of the downsides i found through time from other customers, but im happy with the quality of sound, i also think adding noise cancel, ear buds phones would greatly improve the sound ."									
" It has great sound, lots of memory and can be listened to without headphones, which is a plus when the headphones disappear !"									
 It is compact and the sound quality is very good .									
" It was fine quality sounds for  roof, raising  music and also insane levels of clearity for music videos or movies on the go !"									
" Long Battery Life, Sleek Compact, Easy To Set Up, Reliable Performance, Great Sound, Lots of Storage bought it for the gym and it was just the right weight !"									
" Love the Sound, Photos Look Great ."									
 My only real complaint is that if you listen to the iPod without the headphones in   the sound gets a little off .									
" No sound comes through the headphone jack when headphones are plugged in, but sound can be"									
" Only things I wish they added is measuring distance [not just steps] on the pedometer, better sound on the speaker, and a  capturing still images  with the video recording feature ."									
 Picture and sound quality are excellent for this typ of devic .									
" Plus, the iPod has a lot more memory, more features, and better sound quality ."									
 Poor Sound Quality This product is used every day .									
 sound and picture quality is great !									
 Sound in one side is significantly higher than the other side .									
" Sound is phenominal, great picture, storage, storage, storage !"									
 Sound quality and replay is a marked improvement over the previous versions .									
" sound quality is awesome, easy to load, easy to use  ."									
" Sound quality is excellent, and if you take the headphones off, music will play through a built, in speaker ."									
 Sound quality on the built in speaker is not great but through headphones is awesome !									
 sound quality with no headphones in  This is my first iPod and I'm very happy to have made the switch from a different MP3 brand .									
" Sound quality, video quality, easy to use, space, customizable  ."									
" Sound, color, and features have made this a good Xmas purchase ."									
" Still to new to we'll see  Great product, video feature is awesome and I love how there is now internal sound and you don't have to use ear buds with it ."									
" The 5th gen nano has improved on the 4th gen in a few ways, mainly in sound quality ."									
 the battery life  this was an awsome christmas present and i love it its really easy to use and sounds great .									
" The colors are awesome, the sound is great and it hold tons of songs and videos !"									
 The gym music drowns out the sound .									
" The Headphone Jack is bad out of the box, sound crackles with the lightest touch of the headphone jack which makes the radio useless because they use the headphone cable as the antenna ."									
 The music I loaded sounds clear and crisp .									
 The nano is definitely several notches above the sound									
 The sound is magnificent and I can do so many									
 The sound quality is amazing and the picture quality will really surprise you .									
 the sound quality is great and you do not need headphones at all to listen to music .									
 The sound quality on the speaker microphone are also very good .									
" THE SOUND, THE STORAGE, THE COLOR AND O SO KOOL  ."									
" The sound,appearance silver are just what we wanted ."									
" the video recorder, sound, look  ."									
 They have added a lot of great features and it still has the same great sound and ease of use .									
" Turn the volume up and the sound in the headphone lowers, turn the volume down and the sound goes up ."									
" Very cool features, sound quality, small size, virtually weightless  ."									
" Very easy to use, love the pedometer, lightweight, thin, nice screen, great sound, battery lasts much longer than stated  ."									
 Video camera quality and sound are also surprising for such a small unit .									
" Video is impressive, speaker sound is good for size, easy menus, screen is big enough to watch movies ."									
 When I hook it up to my Bose sounddock at home the sound is fabulous .									
"Good sound, looks great, fairly easy to use ."									
I notice that the audio playback has improved alot over the previous generations I could hear hissing in the third generation and didn't really remember how if sounded on the fourth generation because I didn't have it along time .									
"It is of the best buys I've done, sound quality, video and radio is excellent"									
its really good up to apples usual standard sound quality and video quality is brillant and is ideal for anyone !									
"Long battery life, Decent camera for such a small device, excellent sound quality and easy to use !"									
"My daughter gave this to me and my husband for Christmas, what a great gift, very easy to use, sound is great ."									
"New User to iPOD , , , Sound is Great"									
No way to balance sound between ear pieces .									
"Received my new iPod nano and was pleased with the radio, camera, pedometer, sound quality and appearance ."									
