" A button click brings up the dictionary, starting with that entry ."							" I love the 4, way directional button ."	Tiny buttons with even tinier text on the buttons .	Buttons are not hard to press for me .	"A minor grumble, I keep wanting to press Next Page rather than the select button to make things happen ."			 It is much harder now to accidentally hit the page buttons .	"Next page and other buttons ,  very easy to use ."	Greatly improved page turning buttons .
"I thought it would be fitting to christen my Kindle with the Stephen King novella UR, so went to the Amazon site on my computer and clicked on the button to buy it ."															
I'm not crazy about the way that the scroll button works either .															
"In the Kindle 2, the corners have been rounded and the buttons have been restructured so that it takes a little pressure to press inward instead of outward ."															
It took very little time to get used to having to push a button to turn pages and the screen flash as they turn only really startled me the first few times .															
It's very easy to page forward or backward through the text with the dedicated buttons .															
"My only fear is that I will wear out my 5 direction menu button within the month,  since there is SO much to see, do and find"															
"Navigation is much easier with the 5, way button ."															
significant improvement over Kindle 1's non intuitive forward and previous buttons .															
"The buttons are well placed and need a good push to change pages, but not so much that it detracts from your reading ."															
"The keyboard buttons are small, round, low, profile and have slightly convex tops ."															
The keyboard buttons are smaller and also require some pressure to activate .															
The Kindle 1 roller button and quirky silver navigation bar are gone .															
The main issue I had with Kindle 1 was the navigation button design and placement .															
"The next, previous, back buttons are much smaller and are hard to hit accidentally ."															
"The on, off button is now on top and the radio on, off switch is now in a software menu ."															
The placement of the on off button is much better at the top rather than the back as previously .															
The prev next back home buttons are too small ?															
The redesign of the buttons is a great improvement .															
"There is no 1, 800 number for Canada for Kindle support, so you request them to call you via a button on their site ."															
"What I hate ,  I hate the new button positioning ."															
What I like most about the Kindle 2 is the placement of the buttons and their inversion .															
"When I purchased the Kindle originally, I had several issues with the physical layout, the inability to stop the  accidental  button pushing and the sharp corners ."															
