" All the staff go the extra mile to assist in anyway they can and the staff of the ajoining Cafe Pescatore are just as welcoming, with great service and the food is excellent ."								 The staff was very pleasant and easy to talk to for any questions .																			
 Also we were later informed that only executive rooms had the service of mini bar !								 The staff were extremely friendly and helpful .																			
" Also worth mentioning is that this can be quite a 'conference' destination which can make things very busy if you are staying during one of these events  service can be slow and erratic, and the wait for elevators can be long and frustrating !"								" Very nice staff, who was friendly and helpful ."																			
" Also, room service told me that I could not order scrambled eggs because it was after 11 AM ."								 We found the staff to be helpful and friendly .		 The front desk staff was professional and very helpful .																	
" Also, thanks to Ken the concierge for recommending Grand Limo service ."								"However, the staff was very friendly and helpful ."																			
" Also, they charge exorbitant prices for mini, bar items and room service meals, so be prepared for that ."								The staff was very friendly and helpful .																			
 Although my key card always malfunctioned   the service was top notch .								We found the staff very pleasant and helpful .																			
" Although we did get a strange phone call from room service at 1am, wrong number i think ."								 Staff are friendly and helpful   .																			
" Altogether a nice and modern business hotel with all kind of service, but nothing with individuality and charme ."								 Staff was very friendly helpful .																			
 And the hotel restaurant food and service was   awful .								Staff were helpful and generally friendly .																			
" And to offer nothing to the woman who paid in advance and booked in advance, , , , , terrible customer service ."								 The staff was helpful and friendly .																			
 And value is key for the rooms and the service !								 Staff were pleasant and helpful .																			
" As for service issues, the concierge gave us erroneous info about the Navy Pier trolley  the maid failed to replace toiletries and towels, despite a $3 tip that had been left I normally tip $1, 2 per day and wait until the day we leave to tip the maid, but I decided to try something different this time since we were at a 4"								"Staff ,  Very friendly and helpful ."																			
 ASK is a very nice Italian restaurant nearby serving pastas and pizzas with excellent service which will run about 10								 The staff were very friendly and helpful during our stay .																			
" At the reception the service were exelent ,  altought during that five minutes I was standing there, the receptionists appologised three times !"								PositivesThe staff were friendly and helpful .																			
 At this point I asked to be put through to Best Western Customer Services and amazingly our room was changed to a king bed suite as per our reservation within the hour .								 All staff very friendly and could not have been more helpful .																			
" Be cautious of using the room services like the phone, mini bar and room service as the prices are sky high, but I would definitely stay there again and I would recommend this hotel to anyone !"								 The staff were friendly and helpful .																			
 Beautiful hotel with great service and location .								 Staff very helpful and pleasant .																			
" because it has sensor to count how many times you open it for beverage service, nice area, near Starbucks, pastry shops, fast foods, supermarket, walking distances to Kensington Palace, London Natural Science Museum, Harrods, Victoria Albert Musuem, pubs, and what else could you ask for ."								 The staff is friendly and helpful .																			
 Being that I worked as a front desk person at a Best Western for quite awhile I was on the lookout for good service and facilities .								 The staff was beyond kind and helpful .																			
 Bell Service was helpful in arranging a van cab to take us to the airport .								 Staff was extremely friendly and helpful .																			
 Both of us having worked in tourism for over 14 years were very disappointed at the level of service provided by this gentleman .								 The staff is friendly and helpful .																			
" Breakfast was good, with many choices and excellent service ."								 Staff were friendly and helpful .																			
" but after having spent an entire week in London, I came to realize that just about anybody in the service industry is just that ."								 Every single staff member we came into contact with was extremely helpful and very nice !																			
" But the maid service was excellent, it was very clean and the bed was comfortable ."																											
																											
 But there are much better hotels to choose from for the same price and at least you get some good service and respect from staff .																											
" By the way, all housekeeping and room service requests are handled promptly ."																											
" Chicago is fantastic and i would recommend giordinos pizza  , we also did the chicago bus co tour, we paid fpr a 3 day pass which was worth the money because it is a hop on and off service and can be used to save your legs when you start to get tired ."																											
 Clean and comfortable with friendly service and a convenient Chicago location .																											
" Comfortable beds, friendly service, not as many noisy sirens !"																											
" Concierge service from our experience was good from one but bad from another so if you don't get good help the first time you ask, just go ask again later when someone else is there ."																											
 Concierge was very helpful  we didnt take the English breakfast but the downstairs bar offers croissants and Starbucks coffee and the service was very nice .																											
" Despite its size, and the fact that there are over 20 floors of bedrooms, lift service was never slow, and the breakfast operation   is exceptionally well, managed ."																											
" Did not eat at the restaurant, but room service was great ."																											
" Did not use any of the hotels other services, but I was pleased overall and would stay here again ."																											
 Did not use any other facilities or order room service .																											
" Even with the amount we saved on the room, we could not justify spending the amount they listed for room service ."																											
" Everything was wonderful, including the staff and service ."																											
 Excellent staff and service and the adjoining Italian restaurant was superb .																											
																											
" Fantastic, professional, helpful staff, clean rooms, great room service, fitness area and Internet Business facilities keep me coming back ."																											
" Finally, the hotel did nothing to inform us about a transit strike on the tube and when we heard about it on our own and asked the concierge for help with getting to the airport, he advised taking a cab service for 50 pounds plus banking holiday surcharge, , we luckily found a cheaper alternative by ourselves ."																											
" Food quality was good, service prompt, everything prepared as we had ordered ."																											
" Food was OK, service very haphazard ."																											
" For a little extra money, the soon to be Crowne Plaza over the road offers far better service yet with the same great location"																											
" For the location and comfort of the new rooms, this is the perfect hotel, however come armed with your credit card as they appear to be funding the refurbishment through room service and mini bar charges, not to mention the room rates ."																											
" For the price, cleanliness, service and quality it definately deserves a higher star rating ."																											
" Found the food there to be quite nice, and our service was always prompt and efficient ."																											
 friendly service was evident each day and the gentleman conceirge was patient and helpful .																											
" From reading other reviews, it seems as though this hotel has significant lapses in service from time to time ."																											
" Front, line staff members speak very poor English, and provide VERY poor customer service   ."																											
" Good concierge service ,  recommended very good restaurants ,  italian and indian ,  to us ,  in walking distance from the hotel ."																											
" Got Swissotel for a very good price, but was a little anxious since some of the reviews on this site complained of slow elevator service, unhelpful staff, etc ."																											
" Great location, freshly renovated, very small rooms, anonymous hotel, acceptable service ."																											
" Great people, service was terrefic, especially during this stressful time !"																											
" Great service in there, and a nice quiet place to grab a drink and just talk ."																											
" Great service, nice view, nice room ."																											
" Great views, bathrooms  , and room service ."																											
" Great views, location, top notch service ."																											
" Guys won’t care, women may feel a little ill at ease, but could certainly call room service ."																											
" He got our heavy bags inside, showed us around the room, explained about room service, etc ."																											
" Honestly, I would rate the service and location a three, the rooms a four, and the view a five !"																											
" However the hotel is very large and loses some personal service as a result ,  the service we received was variable, with little recognition of our Platinum Priority Club Rewards status, and slow room service   ."																											
 However the service was quite efficient  my pants were brought back the same day .																											
" However, there are countless restaurants of all sorts and price ranges within a 1, 4 block walk of this hotel, there is little reason to order room service ."																											
 I am recommending the Forum despite the service problems .																											
 I ate their last night and the food and service were top noch .																											
" I can say that every time I have been disappointed with either the value, standards, cleanliness,service of the hotel ."																											
" I cannot comment on room services, however the staff in the front desk were professional and helpful ."																											
" I did not find the service staff to be above average in any way, with the exception of the lovely concierge ."																											
 I ended up ordering room service .																											
 I had a note slipped under my door early Friday morning telling me that they were working on the guest services movie thing and that they hoped to have it back working that night .																											
 I had also stayed at the Swissotel Boston several years ago and this was a much different experience from a service point of view .																											
" I had breakfast and dinner a few times at the restaurant joined to the hotel, Cafe Pescatore, and thought the food and the service were both very good ."																											
 I had breakfast in the hotel restaurant and room service .																											
" I have in the past called Guest Services for the loan of a mini, fridge which was previously installed in the room with no problem  this time round, I was told there was a flat US$50 fee for this, irrespective of the duration of the stay ."																											
" I left the hotel for 4 hours in the afternoon with the do, not, disturb sign removed, but it was not serviced when I returned ."																											
 I noticed on my last stay that the quality of service was very diminished .																											
" I ordered room service late on Saturday night, and the gentlemen who brought it up was one of the most pleasant people I encountered in Chicago !"																											
" I ordered room service one night, and the food was delightful, and the service was fast and friendly ."																											
 I personally appreciated the free internet service in the hotel .																											
 I really didn't get a chance to experience the staff's level of service but the rooms are small as is the bathroom .																											
 I recommend this high class hotel with perfect service and will stay there again .																											
" I stayed in room 354 ,  on the Exec Floor ,  no bathrobes, no newspaper delivery  , room service crockery standing outside room for almost 24 hours un movedand poor service in Bistro ."																											
 I still can't figure out if it's a difference in  service  from US and UK standards or if it's just this hotel .																											
 I think that is bad service .																											
" I was also disappointed that the hotel's &quot room service&quot  came from a nearby pizzeria, but the hotel still charged a fee on each delivery ."																											
 I won't be staying here again until I hear that they have upgraded this service .																											
 i would also urge other vistors to prebook Alacatraz with Blue and Gold Fleet direct on there website before they arrive in San Fran as you can pick up your tickets at the self service machine without the miles of queues !																											
 I would definitely stay here again for the location and the great customer service .																											
" I would recommend this hotel, they gave great service even though we booked with [, , ] ."																											
" I'd highly recommend the Tuscan Inn based on location, cheerfulness of staff, aesthetics in the room and general overall service ."																											
" I'd say that,as far as the evening   wine service is concerned,if you happen to be in the hotel,it's fine ."																											
" If you are interested in going to Navy Pier, there is a free trolley service on the side of the Hyatt hotel, you can catch, just make sure it has the yellow star on the trolley ."																											
" If you are looking for a bit more comfort and better service, look elsewhere ."																											
" If you hang around in the lobby, you can hear other people complaining about poor service, poor room quality and a host of other problems to the staff ."																											
 If you need a hotel with services like access to a computer or a concierge who can do more than give directions and order full price tickets to events then don't stay here .																											
" In all, as with many Holiday Inns hotels worldwide, affordable with good rooms and customer service but there is always one or two issues that keep this chain from being a affordable and good place to stay ."																											
" In my eyes that is a step up from stealing because we did not utilize the mini bar, room service or the business center ."																											
" In spite of its size, we found the service to be good ,  speedy check, in, and very rapid response to a broken toilet at 11pm ."																											
" In the evenings from 5pm till 6pm a wine, beer and sparkling water service was available ."																											
 Internet service worked fine with a $10 daily charge .																											
 Is this the level of customer service you want ?																											
 It amazes me that a hotel of this caliber does not understand customer service .																											
 It exhibits neither Swiss efficiency nor American service .																											
" It has everthing you need to have a great time in a great city,  location, good service, great food  , comfortable rooms and a complimentary happy hour ."																											
" It has some charms in decor, and all staff gave very good service to us ."																											
 It is not 4 star hotel service .																											
" It is very close to Gloucester Rd tube station, has plenty of restaurants, pubs, supermarkets, chemists within 100 yds, is close to Hyde park for a run walk in summer, near Kensington High street, rooms are always clean and have recently been refurbed, room service menu is better than other hotel chains, breakfast is good ."																											
" It met all my expectations ,  very clean room w pleasing modern decor, above average housekeeping services, accomodating staff ."																											
 It was clean and serviced promptly every day with fresh linen and towels .																											
" It's rated 4, stars, but I also stayed at an equivalently rated Marriott while in London, and a 3, star Holiday Inn Express in Scotland, and the service and rooms were much better at the other locations ."																											
 Just don't ask anyone to provide you with outstanding service !																											
 Just stayed for one night but did not receive the service one would expect from a 4 star hotel .																											
 Lots of folks were checking out and the elevator service was slow .																											
" Lunch and dinner room service is provided by North Beach Pizza, which deliveries many Italian specialties including pasta, entrees, salads, sandwiches and of course ,  pizza ."																											
 Maid service was good and the staff were always pleasant .																											
 Maid service was prompt and outstanding .																											
" Maid service was prompt, too ."																											
" Maid service, perfect no complaints ."																											
 Mediocre room and service for a very extravagant price .																											
" Minimall with Boots pharmacy, Whole Foods type ritzy fullservice market, coffee shops, etc ."																											
" Mom didn’t want to walk too far at night, so after leaving Navy Pier   we came back to the room and I ordered room service for just the second time in my life ."																											
" My daugher and I average about $70 a dinner regardless of whehter we ate out or did room service ,  ,  YIKES ."																											
" My family and I recently stayed in the Chicago hotel,   and I was so completely disappointed in both the room and the service that not only will I never stay in one of their facilities again, but I will certainly encourage all of my friends and family to do the same ."																											
 My family stayed in 2 connecting rooms this July and had outstanding customer service .																											
" My father and I were in town for four days from Los Angeles to catch a game at Wrigley Stadium, and the front desk and bar staff were all very friendly and accommodating, providing recommendations to us about the attractions, and transportation services ."																											
 My husband and I had one of our most memorable hotel experiences at the Suisse due to the service .																											
" Near a tube station that services three subway lines, for starters ."																											
 Never experienced the room service .																											
 Never had a problem with any service personnel .																											
" Nevertheless, I did like this hotel,  the rooms, location, and most of the service and I would stay here again ."																											
 No greeting when you called them   and the service was fine but indifferent .																											
" no more bathrobes in corner rooms suites  coffee service in room is parred way down  the buffet offered in the cafe is not as bountiful, although the cafe staff is inpeccable and extremely gracious and will bring you what you wish  check in staff not at all eager to upgrade you, even though you may be a frequent visitor ."																											
" no robes in the rooms, ice machines are not on every floor  , no turn down service at night, and when housekeeping did come, they did not replace the shower gel we had used which was totally empty ."																											
 Not sure why hotels don't seem to understand that their guests opinion of the hotel is influenced more by housekeeping services than it is by how ornate the lobby decor is .																											
" Now on the side of the service andstaff, there is a real &quot snobbish&quot  attitude that isprobably related to the fact that the Swedish, Germanprogeny of Europe work at the hotel, except as luggagehandlers, toilet cleaners and car parkers ."																											
" On the first night of my stay, I tried to use room service ."																											
 On the third night I tried room service again .																											
" On top of all of this, the concierge was so unhelpful and unknowledgeable that we called the W Hotel to use their services ."																											
" One day we had the do not disturb sign on the door before the maid had come so we could rest, and when we finally stepped out for about an hour, we changed the sign for maid service and everything was perfect when we returned !"																											
" One other thing, I took my family to the eating establishment connected to this hotel and the service there was TERRIBLE !"																											
 One thing that really impressed us was the excellent housekeeping service .																											
" One very simple, but very appreciated touch was the water service in the front lobby ."																											
 Only postive is their breakfast service .																											
 Ordering soup on room service will set you back around $20 																											
 Our last hotel stay downtown was at the Sofitel &amp  I felt the service and hotel were much better .																											
" Our room was clean, though small, the service was great, and we would stay here again in a heartbeat !"																											
 Overall we had a nice stay but just had some minor service issues .																											
" Overall, I think the Swissotel is a perfectly nice facility and I feel like we got a good deal but I would never consider paying full price to stay there as you can get the same amenities and service at lower rates elsewhere ."																											
" Overall, the stay at The Tuscan Inn was great and would highly recommend due to the room service ."																											
" Overall, this hotel from top to bottom ,  service, furnishings, beds, appeal ,  is akin to a mediocre Holiday Inn ."																											
" Poor customer service, bad and overpriced pub food ."																											
" potential, but is probably in need of a renovation and some intense customer service training for its staff ."																											
" Quite snooty or surly service at reception, from two separate people ."																											
 Reception was busy but service was good throughout my stay .																											
" Room service food quality was very good but with a $7 tray charge plus 20% service, I then absolutely refuse to tip for delivery ."																											
 Room service got my breakfast order wrong but they made it up the next day when I ordered a kids meal and got enough food for three people .																											
 Room service is limited after 10 p .																											
 Room service pesonnel called me up after about 45minutes asking if I really needed the stuff that I had ordered .																											
" Room service quality was great, but the prices were outrageous ."																											
" Room service took 15 minutes, which shocked me ."																											
" Room service was efficient, average priced, and decent food ."																											
 Room service was expensive in the hotel .																											
" Room service was extortionate though, very very expensive, so we didnt bother, as food outlets a few minutes walk away ."																											
 Room service was good and the staff extremely friendly .																											
" Room service will bring a bucket of ice any time, or there’s a machine on the 25th floor ."																											
" Room service, however, was prompt and good ."																											
" rooms, service, location were top notch ."																											
" Service at reception both for checking in or out can be slow and although I've always found the staff to be pleasant, not all of them fully understand english ."																											
" Service at the front desk was very friendly and efficient while room, service breakfasts were quite good and delivered promptly ."																											
" Service can be slow at peak times with waits up to one hour at times, but on average I had to wait no longer that around 30 minutes ."																											
 Service impersonal but friendly .																											
" Service in all areas, at all levels was good ."																											
" Service is not particularly attentive, but not rude ."																											
" Service was all good, albeit a bit stoic ."																											
" Service was efficient but far from personal, how could it be when the place was as a large as it was !"																											
 Service was european and elegant .																											
 Service was excellent   and housing came as soon as asked .																											
 Service was excellent and the suites were large and comfortable .																											
 Service was friendly and courteous .																											
" Service was good ,  efficient and polite ."																											
 Service was great and the concierge was very helpful .																											
 Service was great and the location of the hotel was very convenient   .																											
 Service was great as I was greeted immediately by bellstaff from my taxi and the desk person greeted me with a great smile .																											
" Service was impeccably English hotel, wide ."																											
" Service was poor and they got our order wrong, but they did correct it at no extra cost and the food was good ."																											
 Service was spotty  Front desk was marginally helpful .																											
 Service with a smile always !																											
" So, in all, I would definitely stay hereagain, even though the service stinks, the restaurantis for rich patrons with money to blow and the peopleare snobs, the rooms make up for it ."																											
" Some of the concierge staff were abit chilly at times, but the housekeeping service staff were extremely friendly and cheerful ."																											
 Someone needs to help those folks with a refresher course in customer service .																											
" Speaking of parking, you're going to have to pay and it's going to have to be valet service, as there are no free self park lots that are part of the hotel ."																											
 Spend your money for a nicer hotel just off the lake or off Michigan avenue for real top notch service .																											
 Split a fare w a private service i .																											
" stayed at swissotel for 5 nights ,  just myself and two children   all the staff could not have been more welcoming, the room service was prompt and efficient and not overly expensive ."																											
																											
 Swissotel needs some training on customer service .																											
" Talking about food, something worth noticing is that there was a fridge in the room, but it was completely reserved for the mini, bar service beverages, which completely filled it ."																											
" Teaming this Hotel with the great food   service @ Cafe Pescatore, I would definitely choose this hotel again while in SF, an experience we won't ever forget ."																											
 The accomodations and support services are phenomenal .																											
" The adjacent Cafe Pescatero was handy for breakfast but had some hiccups in service, but it was okay overall ."																											
" The bell service at the front door was nice, opening the door of the cab when we arrived and always saying hello when we were entering or leaving the hotel but the reception and concierge service was not as polite, often making us feel like we were troubling them for recommendations or when asking about buses and maps ."																											
" The breakfast is self service on the first floor, not cheap   but not bad either as there is plenty of choice ."																											
 The buffet breakfast is ok although not the best I've had and usually includes a selection of fresh fruit as well as the usual 'full english' The food in the ground floor restaurant is good  I haven't had problems with room service although the menu has recently changed and doesn't have as good a selection as it did .																											
 The cafe is comfortable and service was attentive and polite .																											
 The card which is left for you to leave comments and review your service went missing from my room on the fourth day which speaks volumes .																											
 The concierge and service line were both just okay .																											
" The concierge, in turn, told us to see the bellman, who said the shuttle did not run on weekends and he knew nothing about how to arrange the service ."																											
" The elevators were always quick and in service, and the views of Navy Pier as you walk off the elevators are spectacular ."																											
" The fitness center has good equipment, and room service arrives even faster than they predict in their estimates ."																											
 The food and service were both excellent .																											
" The food at the &quot Cafe&quot  is quite &quot hotel, like&quot  but the service makes up for it ."																											
" The food was excellent, the service was very friendly and the prices cheap ."																											
" The fridge was self, service   and barely functional, so didn't chill the sodas I bought ."																											
 The front desk is the worst service I have had in years .																											
 The furniture was a little worn but the hotel's service and location made up for it .																											
" The highlight of this hotel for us was the service offered by the staff, particularly the two concierges on duty while we were there ."																											
 The hotel charges for internet service .																											
" The hotel is advertised to have multiple restaurants, but that was not the case either , ,  other than room service the only option for dinner is The Palms restaurant which is very overpriced for the quality of the food ."																											
" The hotel is in a great location, the staff is friendly and very service, oriented ."																											
" The hotel is pretty much as you'd expect from the chain , nice clean rooms well serviced, and the staff were extremely helpful,  very pleasant to deal with ."																											
 The hotel offers a laundry service which I needed to take advantage of .																											
 The hotel restaurant was a bit over priced but good service and good quality .																											
 The hotel staff are very helpful and provided excellent service .																											
 The ideal location   coupled with great service and beautiful rooms makes for a wonder stay .																											
" The immediate area around the hotel is extremely well serviced by at least 3 internet cafes, grocery store next to tube station, as well as several nice cafes and restaurants ."																											
 The included breakfeast was a plus and I noticed the wifi folks using the free service in the lobby .																											
 The internet access guest services movie selection didn't work either .																											
" The internet service is reliable and fast, and the desk in the room is large ."																											
" The last remark in fact goes for the whole room, the cleaning service was perfect and the room recently renovated ."																											
 The lunches are reasonably priced and the service is great .																											
 The maid service was excellent and we felt very happy with our choice .																											
 The maid service was good and everything was cleaned and tidied .																											
" The maid who had provided turn, down service had also turned on the radio, so &quot Take Five&quot  accompanied the fireworks ."																											
 The main restaurant is on floor 1 and offers a full cooked and continental buffet was good choice and generally very good service .																											
 The Menu Prices for room service Forget it !																											
 The only cleanliness complaint is the cleaning service did not remove dirty glasses or a decaying lemon wedge with the in room kettle service .																											
 The only complaint I have is the Valet service .																											
" The only down side was the same as last time, very impersonal service by the Management and the on, duty Manager was just pure rude, but if you don't have to talk to any staff members, this hotel is great ."																											
" The Palm resturant in the hotel had some specials Sunday night, we ate there and the food service,etc were outstanding portions are large and we shared since we are not big eaters ."																											
 The person at the front desk said for room service to fill out the menu or go to the Palm restaurant and they would bill it to our room .																											
" The personalized service always stands out and if we have a problem, it is immediately remedied ."																											
 The price is moderate for the service and the location .																											
" The price, the space, the location and the service were the exactly right thing we wanted ."																											
" The restaurant in the hotel ,  Cafe Pescatore ,  does the breakfast run for room service, it was adequate but a little overpriced ."																											
 The restaurant is not cheap but is very well patronised and the service is very good as is the food .																											
 The room and bathroom were very clean and serviced each day to a high standard .																											
 The room had not been serviced and we were not pleased .																											
" The room itself had worn carpets, some scratched furniture and leaky showerhead, butthe maid service was generally prompt and efficient ."																											
 The room service was a little expensive but very good .																											
" The room was nice, but the service was horriable ."																											
" The rooms are small but very clean, charmingly decorated with a view of the little flowered courtyard, comfy beds, plenty of pillows   towels and smiling service ."																											
" The rooms are very nice , the location is excellent, but the service is Terrible !"																											
" The rooms were clean and updated, the beds were comfortable, and the bellman service was fast and efficient ."																											
" The rooms were comparable but I have to admit I loved the Fairmont service, especially the bellhops and front desk ."																											
 The rooms were great and the Service wonderful .																											
" The rooms were very clean, the service was polite and helpful, and it's near the heart of Chicago !"																											
 The rude and poor service started from the concierge who was curt when I asked a question .																											
 The service at the breakfast room was ok .																											
 The service from every staff member we encountered was delightful .																											
 The service is always great and the rooms very clean .																											
" The service is pleasant enough, and I was given a room with a nice view of central London   on the 14th floor without having to ask, despite booking on Priceline ."																											
" the service is poor, and for those used to staying in Kimpton hotels ."																											
																											
" The service was excellent, the room was terrific, the bed was incredibly comfortable and the hotel is centrally located to all the major attractions of San Francisco ."																											
" The service was fine with the exception of check, in ."																											
" The service was friendly and helpful at the front desk, but the conciege that I dealt with was not very good ."																											
" The service was good, the wine service each evening was very nice   next to the fireplace, and the location was awesome !"																											
" The service was good, very friendly staff and we loved the free wine reception each night ."																											
 The service was great with lots of coffee and tea and toast brought to the table for you .																											
 The service was quick and gracious checking in and out .																											
 The service was the worst service we have EVER recieved in my life the worst .																											
																											
 The staff at this hotel make you feel so welcome and its service with a smile .																											
" The staff was absolutely excellent = full service, from front desk, to health club attendants, to business center personnel ."																											
 The staff was so friendly and helpful and the concierge service was very knowledgeable .																											
" The staff was wonderful, our room was very comfortable with an amazing view of the Chicago River and Michigan Ave, Room service was superb   ."																											
 The valet guy was extremely helpful and very friendly but the check in guest services staff on the whole uninterested and unhelpful .																											
 The whole trip was ruined by the guest service of the hotel .																											
" The worst were the clorox, like smell on that floor and the level of service provided by the staff ."																											
" Their service was of the level and knowledge I would expect at at 5, star hotel ."																											
" There are many public transportation options including the cable cars, the trolley line and bus service ."																											
 There are other hotels in the area who do not offer room service .																											
" There is 24 hour room service, a restaurant, and a tavern in the hotel although we did not sample the hotel food ."																											
 There is a shuttle service for 34 pounds which needs to be booked one day ahead and plys only every half hour .																											
" There is also a laundry service at the hotel, but they also change an outrageous amount so unless you have an expense account I wouldn't plan on using it ."																											
" There is no actual Spa, its just a service they make an appointment with and they come to the hotel, , so the services are overpriced ."																											
 There was also a gentleman offering massage at this time and we met a few people who had enjoyed his services .																											
" There was an adequate self service buffet, not a huge selection or very well presented, cloths were not changed when food got spilt ."																											
 There was no evening turndown service or complimentary bottled water .																											
" There were no service issues to speak of, but it's not an overly, friendly hotel ."																											
" There’s a reason why it’s not the Holiday Inn and I’m assuming you stay there because of the amenities they offer and the service and location and views afforded and so no, you’re not going to pay corner diner prices at an upscale hotel ."																											
" They also have a great room service menu and was surprised at the big portions and quality of the food, great to get a bit in your room after a night on the town ."																											
" They did give us an extra bed for our little girl after we requested it but having stayed in the hampton inn and suites, milwaukee the days before, i have to say the service was poorer ."																											
" They had a great wine list, appetizers, and friendly service ."																											
" They had fantastic service there,  pricey, but so worth it ."																											
 They have demonstrated a wonderful ability to deliver consistent service and go above and beyond .																											
 They say they pride themselves on being the best in guest service but I was not impressed at all .																											
 They state that there is an obligatory service charge for tables of more than 6 .																											
" This hotel is truly a value for the mid, level traveler looking for excellent accomodations and the HIGHEST LEVEL OF SERVICE ANYWHERE !"																											
 This is a great hotel with no customer service focus .																											
" This is suppose to be a full service hotle, but I would only classify it at best as a Motel 6 quality ."																											
 This restaurant is within the hotel but seems to operate independantly so you cannot order room service from the Palm but you can get take out and then have plates utensils delivered from room srevice .																											
" This tuscan, themed hotel was charming, clean   comfortable and the complimentary concierge service was so helpful ."																											
 This was probably not the best pick for us as we don't like tourist areas and Fishermans Wharf if one big tourist service .																											
" To get ice, you have to first get a bucket from room service ."																											
" To get Room Service, it called Housekeeping ."																											
" To use the gym or pool was a $15 a day charge, to print our boarding passes was a $6 dollar charge and internet service was a $9 a day charge ."																											
" Too bad on several days, they were not able to service the room until late afternoon ."																											
 Typical London impersonal service from staff .																											
" Unfortunately we didn't get to dine in the hotel restaurant, but I'd say it would be good, if the after hours service is anything to go by !"																											
" Valet parking for $40 per night seems a bit steep,but at least the service was efficient and quick ."																											
" Valet parking was $36 a day, but we're not complaining because other SF wharf hotels have charged us a similar fee even without the valet service ."																											
" very clean,well maintained,with efficient,if not overly friendly service ."																											
" We also love the service of the staff, not to foreget the kindly people which store our bags ."																											
 We appreciated the elegant service and manner of the staff .																											
" We arrived at 11 am, but were able to check in with the professional and service, minded staff right away ."																											
 We asked her how to get back to the airport without having to pay the shuttle service $15 each .																											
" We ate at a really good Indian, very popular, good service plenty to eat for about £7 each ."																											
 We ate at the Italian restaraunt located in the hotel and the food and service was outstanding .																											
" We ate breakfast there one day and were appalled at the slow service, rude waitstaff, and overpriced breakfast food ."																											
" We ate on evening once at the Garfunkels pub in the mall, it was typical chain restaurant food but fast with good service ."																											
