  Gliding  can best define the comfort and quietness of the ride inside .								 The seats are extremely uncomfortable .	 The driver's seat is very uncomfortable .	 I do find the lumbar on the driver's seat a bit uncomfortable though .	 Seats are very comfortable and ride is very smooth !	 Lots of room and very comfortable .	 Comfort is my only real complaint .	 This car is very comfortable car to drive .
 The '08 is more comfortable and handles quite a bit better than the very good experience we had with the '06's .														
" The Accord has looks, comfort, great ride and reliability ."														
" The Accord is so large, comforting, and easy to understand radio system ."														
" The Camry was very comfortable, but not sporty and the ride was boring ."														
 The car achieves a nice balance between sportiness and comfort .														
 The car is comfortable and QUIET .														
" The car is roomy inside, comfortable, handles and performs great and is fun to drive ."														
" The car is solid, beautiful, comfortable, fuel efficient and big enough for my family of 5   ."														
" The car is very comfortable, the steering is tight and precise ."														
" The front seats are extremely uncomfortable after anything more than 15 minutes of driving due to what I see as a design flaw, the seat curvature is too great, and even with the lumbar support all the way retracted, it still feels like there is some type of bar sticking out in the wrong part of my back   ."														
 The head rest tills forward which pushes the driver's head forward at a very uncomfortable position .														
 The heated leather seat is very comfortable and audio system is rocking .														
" The interior is comfortable, neat and you can find everything within reach ."														
" The interior quality is OK, my 1999 Accord EX had a better comfort level on the seats ."														
" The leather seat is not the most comfortable, but not bad ."														
 The only hiccup I can report is that I think that the seats in our 2008 Odyssey are a bit more comfortable .														
 The ride is a great balance between handling and comfort .														
" The ride is firm but not harsh, It is more comfortable than the Maxima and looks much better than any Camry ."														
 The seat contour creates uncomfortable pressure points which quickly become tiring and downright painful .														
" The seats are comfortable, and there is ample leg room in the front and rear ."														
 The seats are very comfortable & supportive .														
 The seats are very comfortable and I love the cloth .														
 The two door coupe is very comfortable and roomy and draws plenty of attention .														
 This a good choice if   you need an affordable and comfortable commuting vehicle but hate the idea of a boring boxy sedan .														
 This Accord is the only large car I found with upscale comfort amenities and a good manual transmission .														
" This Accord model has a great balance of features that blends attractive styling, driveablity, build quality, economy, and comfort with all the loaded options that I will enjoy over several years and 100000"														
 This car is a dream from the GAS to the STYLE to the COMFORT .														
" This car is comfortable, loaded with options and every one that gets into it loves it ."														
 This car is stylish and very comfortable to drive .														
 Three months and I still can't get comfortable in the LX .														
 Traded in a 2007 Hyundai Azera Limited that depreciated too fast for my comfort zone .														
" Uncomfortable in Camry, Had a Nissan before, rough ride ."														
" Very comfortable drive, holds the road very nicely and a blast to drive ."														
 Very comfortable ride compared to my Lexus .														
 Very roomy and comfortable even with 5 adults .														
" Very tight, runs great, very comfortable to drive ."														
" Was looking for something fun, fast, comfortable and practical and got it all with this car ."														
" What a car, design, ride, comfort, 270 watt audio system, I love this car ."														
 While the Accord is no Acura it is a close relative in terms of quality and comfort .														
" With the leather seats, comfort is close to EX, L's at a  best buy  price ."														
00 per gallon I wanted something more fuel efficient but large enough to seat four adults comfortably and provide a sense of safety too .														
"Although not the fastest, most luxurious, or technologically advanced in the very competitive mid, size sedan segment, the Accord strikes the perfect balance of sport, comfort and value, creating a vehicle that feels and acts like a much pricier machine ."														
An extremely comfortable and capable sedan .														
"Driver seat could be more comfortable however, but I love everything about it ."														
"Excellent car, would recommend this to anyone looking for a sharp, reliable, comfortable sedan ."														
"I like my Accord very much, but had I known the drivers seat was so uncomfortable I would have never bought it ."														
"I purchased this car because the amount of time I spend on the road, I need a comfortable car that is reliable ."														
"s a great car, spacious, comfortable, fun to drive, and handles very well ."														
"The 2008 Honda Accord EX, L V6 is an ideal combination of comfort, economy, and pleasure !"														
The Honda was very comfortable to drive and averaged 32 miles per gallon .														
"This is my second Accord and it's bigger, zippier and more comfortable ."														
Traded in my Oddysey for better gas mileage and more comfort .														
Very comfortable and roomy vehicle .														
"When I bought this car a year ago, I initially wrote a review stating I may have buyer's remorse due to extremely uncomfortable driver's seat ."														
