" My previous BMW 3 series got better mileage, and believe me it was more fun to drive ."										
 Nice looking car and good gas mileage .										
" on my 2000 mile trip gas mileage in Florida, Georgia, and South Carolina was 32 ."										
" Once you learn the responsiveness of the gas pedal, you can get either the performance or mileage you want out of a 2 ."										
" Overall I like the Camry for its large trunk space, sporty look, the metallic red paint, reliability and low maintenance, Toyota warranty, Toyota dealer service department and better gas mileage than my full size truck ."										
 Poor mileage is yet another factor as is the numerous blind spots resulting from the appearance over proper design issues .										
 Probably the best 4 cylinder motor on the market with excelent mileage and performance .										
 Reliable and predicted to get great mileage .										
 Ride seems comfortable and gas mileage fairly good averaging 26 city and 30 open road .										
 Safety was #1 and mileage was #2 .										
" Serious disappointment in gas mileage ,  particularly over my previous 1999 model ."										
" The 2000 Bonneville I traded was not as refined or quiet, but rode better and got nearly the same mileage ."										
 The 4 cylinder does not get good mileage at 70 MPH plus .										
 The car has extremely dangerous hesitations and absolutely terrible gas mileage .										
 The corolla is the best toyota car when it comes to gas per mileage .										
 The gas mileage has been getting better .										
" The gas mileage is still good, cant give specifics but for a V6, its good ."										
" The interior is roomy, the ride is smooth and solid and yet it has excellent gas mileage ."										
" The mileage has been both street and interstate, averaging 24 miles per gallon ."										
" The Mileage Queen has put 55,000 miles on  Ricky  since Sept 06   ."										
 The mileage seems to be good too as the fuel indicator still shows approx .										
 The transmission is jerky and the gas mileage is terrible .										
" The V6 was too much power, but with the gas mileage difference of less than 2 MPG ."										
 The vehicle does not get as good of mileage in town as I thought .										
 This car has plenty of pick up and go even with the in line four cylinder engine along with good gas mileage and handling .										
" This car is easy to drive, great gas mileage and comfortable ."										
" This new one gets even better mileage, averages about 33 freeway ."										
" throttle hesitation, and poor gas mileage ."										
 Traded my Highlander for it for better mileage w  gas prices so high .										
 Wish it delivered the gas mileage of my 2003 XLE .										
" With the SW fix and using the 0W, 20 oil our gas mileage has improved from 26 to 32 mpg   ."										
"7, as I edged into the mountains of NC and Virginia, the mileage fell to 30 ."										
"Great performance, great gas mileage  , superior quality ,  I always thought of a Camry as just a practical family sedan ."										
"I purchased this camry, three weeks ago, acceleration is a major problem, just not like the older models of camry, was in a accident, hit on the front right side, right fender, car was considered total loss, not fixable, I would not purchase another camry disappointed is this 2007 camry, gas mileage is not as good as prior years, i had to purchase another vehicle, it was not a camry, made in ky, it was a solid 2007 toyota RAV4 made in japan ."										
"I would highly reccomend this car If your looking for a sporty, roomy, 4 door sedan with good gas mileage"										
It has excellent power and good mileage considering the amount of power it has .										
"It is a very well designed auto and runs and handles very well, mileage not quite as good as 2004, but only have 2100 miles on it ."										
"I've had this car for a year ,  bought it for the low emissions, safety, and good mileage rating ,  and I'm considering trading it in ."										
"Once broken in mileage is steady at 29, 32 mpg ."										
"Powerfull, quiet, good gas mileage, excellent workmanship, good audio system ."										
The delay in acceleration and poor mileage makes this car worse than any other car in the segment .										
"The engine, ride and gas mileage is great ."										
The main reason for this review is to add the  broken in  gas mileage .										
"This car has it all, styling, performance, durability, wonderful gas mileage and just a great and exciting car to drive ."										
"This car offers poor driver's seat comfort, poor vision  , only average ride quality, gas mileage "										
Toyota may have computerized the engine and transmission to get better gas mileage but the very best I can get is 25 mpg on the highway .										
"We have become Toyota Camry and Honda Accord lovers driving used high mileage models from 1992, 1994 ."										
