" Although we didn't use it, there was free Internet access in the room ."							 free wifi and happy hour wine every afternoon !	" The nightly free wine tasting from 5 ,  6 pm is a brilliant idea and gets guests together to socialise witheach other ."	 The free drinks held every evening are welcoming after a long day out .	 The late afternoon free wine reception was a really nice touch and we enjoyed this very much .	Free Wireless internet access .	 The hotel has free wireless .	 Free wine and mingle from 5 to 6pm .	 Internet access was not free .	" Guests actually talk to one another during morning coffee, and the free hour of wine at 5 pm ."	 Free coffee in the lobby in the mornings is nice .		The hotel has one computer   available with free internet .	 We particularly enjoyed the nightly 'manager's reception' when wine and nibbles are freely available !
" The coffee and biscotti offered in the morning is a good way to start the day, and the free wine hour from 5 to 6 is very pleasant, although we were so busy we only attended twice ."																			
" The concierge even gave us a pair of City Passes someone had turned in with four more days still on them, so we rode everywhere for free ."																			
 The free drinks are great if you and like the feeling of getting something for nothing .																			
" The free wine in the lounge each evening was very nice, and given with good grace ,  even the fourth glass !"																			
 The hotel had free coffee and drinks everyday and free access to wireless internet .																			
" The hotel was of a good standard, big clean rooms, decent bathroom and the free wine reception in the evening was an added bonus ."																			
" The hotel's evening wine hour and morning's biscotti hour also distinguish the property as a cut above, and our group, which has stayed at many a biz hotel, had no problem whatsoever  in fact, a courtesy upgrade got us a fine meeting space with free internet, which even impressed our boss ."																			
 The lobby area was really pleasant and the free wine   gets you talking to other guests .																			
" The manager's cocktail hour was a nice touch, and the free coffee in the morning was also nice though I had to ask both mornings for hot chocolate to be brought out for the kids, and the advertised biscotti was no where to be found ."																			
" The only criticism I have is that there was no safe in the room, although safety deposit boxes were available free of charge in reception ."																			
" The parking was free, which was great, and the hotel was conveniently located for public transport, and local attractions ."																			
 The reception area is compact and during the free evening wine sampling gets quite busy .																			
" The rest of the immediate neighborhood seemed safe and nondescript, and largely free of the homeless and the street people that are in evidence elsewhere in this costly city ."																			
 The room also has free wireless which I've read other hotels nearby don't .																			
" The service was good, very friendly staff and we loved the free wine reception each night ."																			
 The staff are friendly and there is one computer for internet access as well as free coffee and biscuits in the afternoon .																			
 The staff were friendly and the free coffee and biscoti each morning and wine at 6pm each evening were occassions when one could meet other guests .																			
" The use of the foyer for free drinks between 5, 6pm was popular especially with fellow Brits !"																			
 The wine tasting in the afternoon made available from the manager was a really nice touch as was the free tea and coffee in the lobby in the morning which got you off to a great start for the day .																			
" Then we picked up the free lobby coffee and the WSJ and the USA Today newspapers, thus having a cheap breakfast ."																			
" There is a concierge, also free wine and appetizers in the afternoon ."																			
" There was a free wine tasting that the hotel put on that we were, unfortunately, too jet, lagged to participate in ."																			
 They also have a computer available with free internet which is a nice bonus but I didn't find that out till the day before we left but was still able to get on there to check our flight to Vegas the next day .																			
" Very clean, get a glass of wine free between 5 6pm in the lobby ."																			
 We also always look for free wifi .																			
" We were surprised and delighted when, on arrival, we were given tokens for free continental breakasts ."																			
 With this hotel we received a free 1 hour tour cruise around Alcatraz and down to the Golden Gate Bridge .																			
 You also get 2 free transportation passes each day of your stay that we used for the trolley systems .																			
"00 for an adult with free entrance for shildren , ,  we were both fascinated for nearly two hours and it was not crowded ."																			
00 found most other places closing so it was Hobsons choiceThe best part of the stay were the free wine and eats in the lounge arond 17 :																			
00 free wine and beer very popular and nice if you happen to catch it before you go out to dinner .																			
"A complete disappointment ,  from losing the reservation made through Best Western toll, free number   to charging our credit card for someone elses stay 3 WEEKS AFTER WE LEFT !"																			
At 5 o'clock every evening in the hotel lobby there is a free wine reception for an hour .																			
"Being the lushes that we are, my wife and I took full advantage of the free happy hour, arriving promptly at five, and not leaving until six ."																			
but it's great to get a couple of free drinks .																			
Free internet use in the reception area was a great touch .																			
I had read a prior review complaning about the fact the hotel had run out of the &quot free&quot  morning biscotti's as promised to quests .																			
l also enjoyed the morning coffee in the lobby and the free wine .																			
No bar as such in the hotel but they have free wine tasting every day at 5p .																			
The free coffee and biscotti in the morning kept us going until breakfast .																			
The free morning hot cocoa and coffee was nice before our daily excursions .																			
The free wine and nibbles served between 5pm and 6pm were a lovely touch .																			
The free wine beer and coffee hot chocolate biscotti is a wonderful touch and we took full advantage of it .																			
The great thing for us was the free parking .																			
"The hotel lobby was lovely, real fire, large comfy chairs and free internet access in the corner ."																			
"The hotel provides free hot drinks and biscotti in the mornings, which was good quality but why ?"																			
The wine reception is a great idea as it is nice to meet other travellers and great having access to the free Internet access in our room .																			
"This hotel offers a lot ,  a great location, great staff, free wine tastings and morning coffee ."																			
"This is a hassle, free place to stay with a dog ."																			
"We stayed at the BW Tuscan Inn only because they were offering a great winter deal , $99 for a room with king, size bed and free parking   ."																			
