"   The internet service which costs GBP15 per day is slower than dial, up  !"							 The food was good and the service was very good .
" I stayed in room 354 ,  on the Exec Floor ,  no bathrobes, no newspaper delivery  , room service crockery standing outside room for almost 24 hours un movedand poor service in Bistro ."							
 I still can't figure out if it's a difference in  service  from US and UK standards or if it's just this hotel .							
 I think that is bad service .							
 I would definitely stay here again for the location and the great customer service .							
" If you are looking for a bit more comfort and better service, look elsewhere ."							
" If you hang around in the lobby, you can hear other people complaining about poor service, poor room quality and a host of other problems to the staff ."							
 If you need a hotel with services like access to a computer or a concierge who can do more than give directions and order full price tickets to events then don't stay here .							
" In all, as with many Holiday Inns hotels worldwide, affordable with good rooms and customer service but there is always one or two issues that keep this chain from being a affordable and good place to stay ."							
" In spite of its size, we found the service to be good ,  speedy check, in, and very rapid response to a broken toilet at 11pm ."							
 Is this the level of customer service you want ?							
 It is not 4 star hotel service .							
" It is very close to Gloucester Rd tube station, has plenty of restaurants, pubs, supermarkets, chemists within 100 yds, is close to Hyde park for a run walk in summer, near Kensington High street, rooms are always clean and have recently been refurbed, room service menu is better than other hotel chains, breakfast is good ."							
" It met all my expectations ,  very clean room w pleasing modern decor, above average housekeeping services, accomodating staff ."							
 It was clean and serviced promptly every day with fresh linen and towels .							
" It's rated 4, stars, but I also stayed at an equivalently rated Marriott while in London, and a 3, star Holiday Inn Express in Scotland, and the service and rooms were much better at the other locations ."							
 Maid service was good and the staff were always pleasant .							
" Minimall with Boots pharmacy, Whole Foods type ritzy fullservice market, coffee shops, etc ."							
" My daugher and I average about $70 a dinner regardless of whehter we ate out or did room service ,  ,  YIKES ."							
 My family stayed in 2 connecting rooms this July and had outstanding customer service .							
" Near a tube station that services three subway lines, for starters ."							
" On the first night of my stay, I tried to use room service ."							
 On the third night I tried room service again .							
 Only postive is their breakfast service .							
" Our room was clean, though small, the service was great, and we would stay here again in a heartbeat !"							
" Poor customer service, bad and overpriced pub food ."							
" Quite snooty or surly service at reception, from two separate people ."							
 Reception was busy but service was good throughout my stay .							
 Room service pesonnel called me up after about 45minutes asking if I really needed the stuff that I had ordered .							
" Room service took 15 minutes, which shocked me ."							
" Room service will bring a bucket of ice any time, or there’s a machine on the 25th floor ."							
" Service at reception both for checking in or out can be slow and although I've always found the staff to be pleasant, not all of them fully understand english ."							
" Service can be slow at peak times with waits up to one hour at times, but on average I had to wait no longer that around 30 minutes ."							
 Service impersonal but friendly .							
" Service in all areas, at all levels was good ."							
" Service is not particularly attentive, but not rude ."							
" Service was efficient but far from personal, how could it be when the place was as a large as it was !"							
 Service was great and the concierge was very helpful .							
 Service was great and the location of the hotel was very convenient   .							
" Service was impeccably English hotel, wide ."							
 Someone needs to help those folks with a refresher course in customer service .							
 Super dinner and attentive service .							
" Talking about food, something worth noticing is that there was a fridge in the room, but it was completely reserved for the mini, bar service beverages, which completely filled it ."							
" The breakfast is self service on the first floor, not cheap   but not bad either as there is plenty of choice ."							
 The buffet breakfast is ok although not the best I've had and usually includes a selection of fresh fruit as well as the usual 'full english' The food in the ground floor restaurant is good  I haven't had problems with room service although the menu has recently changed and doesn't have as good a selection as it did .							
 The card which is left for you to leave comments and review your service went missing from my room on the fourth day which speaks volumes .							
" The food was excellent, the service was very friendly and the prices cheap ."							
" The fridge was self, service   and barely functional, so didn't chill the sodas I bought ."							
 The hotel offers a laundry service which I needed to take advantage of .							
 The hotel staff are very helpful and provided excellent service .							
" The immediate area around the hotel is extremely well serviced by at least 3 internet cafes, grocery store next to tube station, as well as several nice cafes and restaurants ."							
 The included breakfeast was a plus and I noticed the wifi folks using the free service in the lobby .							
 The maid service was excellent and we felt very happy with our choice .							
 The maid service was good and everything was cleaned and tidied .							
 The main restaurant is on floor 1 and offers a full cooked and continental buffet was good choice and generally very good service .							
 The only cleanliness complaint is the cleaning service did not remove dirty glasses or a decaying lemon wedge with the in room kettle service .							
" The only down side was the same as last time, very impersonal service by the Management and the on, duty Manager was just pure rude, but if you don't have to talk to any staff members, this hotel is great ."							
 The price is moderate for the service and the location .							
" The price, the space, the location and the service were the exactly right thing we wanted ."							
 The room and bathroom were very clean and serviced each day to a high standard .							
 The rude and poor service started from the concierge who was curt when I asked a question .							
 The service at the breakfast room was ok .							
" The service is pleasant enough, and I was given a room with a nice view of central London   on the 14th floor without having to ask, despite booking on Priceline ."							
 The service was great with lots of coffee and tea and toast brought to the table for you .							
 The service was the worst service we have EVER recieved in my life the worst .							
" There is 24 hour room service, a restaurant, and a tavern in the hotel although we did not sample the hotel food ."							
 There is a shuttle service for 34 pounds which needs to be booked one day ahead and plys only every half hour .							
" There is also a laundry service at the hotel, but they also change an outrageous amount so unless you have an expense account I wouldn't plan on using it ."							
" There was an adequate self service buffet, not a huge selection or very well presented, cloths were not changed when food got spilt ."							
" There were no service issues to speak of, but it's not an overly, friendly hotel ."							
" They also have a great room service menu and was surprised at the big portions and quality of the food, great to get a bit in your room after a night on the town ."							
" This is suppose to be a full service hotle, but I would only classify it at best as a Motel 6 quality ."							
" To get ice, you have to first get a bucket from room service ."							
" To get Room Service, it called Housekeeping ."							
 Typical London impersonal service from staff .							
" We also love the service of the staff, not to foreget the kindly people which store our bags ."							
" We arrived at 11 am, but were able to check in with the professional and service, minded staff right away ."							
" We ate at a really good Indian, very popular, good service plenty to eat for about £7 each ."							
" We ate on evening once at the Garfunkels pub in the mall, it was typical chain restaurant food but fast with good service ."							
" We had room service the night we arrived, and it was good quality, and arrived quickly ."							
" We passed a number of banks on the way up and also a large post office offering currency etc which should give better rates than the hotels in, house money changing service ."							
 We used room service one night and it was excellent .							
 We were on the 20th floor   very happy with the rooms   the service .							
" We were very pleased with the room, and the staff was all very nice and helpful, including the concierge service ."							
", but after I called room service it was promptly fixed ."							
", We booked our room through an internet service and was lodged in an executive room that included all the aminities expected in a 5, star hotel !"							
"30am, service finished at 11am, there was a queue for the toasters and the cooked breakfast was uninspiring ,  the ingredients seemed poor quality ."							
"Additionally, one other problem was that room service was very very inefficient ,  requesting a menu to be brought to the room took 45 minutes and the guy actually had the audacity to suggest he read it to me over the phone instead of sending one up, after I had to call three times ."							
Basic clean lodging service lacking .							
but be prepared for some poor service quality .							
But those who put an emphasis on service quality should avoid this hotel .							
com and their 'top secret hotels' service .							
Convenient location Great Concierge service .							
"Convenient location not 4, star room and services but OK ."							
"Don't use the restaurant or room service, there's plenty of places to eat outside the hotel, there's a mini Tesco for groceries, a larger grocery store   plenty of internet cafe's, a Paul's Boulangerie right by the tube, great fro a quick breakfast, the Gloucester Road tube stop is a 3 minute walk, plenty of busses to High Street fabulous shopping !"							
Excellent location and service .							
Excellent location service cleanliness and price at the Holiday Inn Kensington Forum .							
Excellent location shame about the service !							
"Exceptionally poor ,  and surprising ,  service ."							
"For a similarly good location  , you can stay at the London Hilton Metropole for the same price and receive much better service ."							
Good Location Horrible Service Disgusting Procedures .							
Good Location New Room Bad Service  .							
Good room poor service all round .							
Great location indifferent service .							
Great location service questionable .							
Great service and perfect location !							
Great stay friendly service great location .							
"I liked this hotel, Nice big room and very good customer service ."							
I was very disappointed with the service from this huge hotel .							
"I wish that the hotel had better service, however ."							
I would stay here again because in London it really is a value for the service and quality of room .							
If you use wake up call service .							
"If you're looking for a comfortable, clean hotel with a mid, range level of service and easy access, then this hotel would serve you well ."							
"If you're looking for a full, service experience, this is still not the hotel for you ."							
"In London its often hard to find good location and good customer service in the same place ,  The Holiday Inn Kensington Forum did that for me and I couldn't ask for more ."							
"not customer, oriented hotelvery low service levelboor reception"							
"Not too happy with the service from frontdesk, concierge and housekeeping ."							
On my last day I used the concierge service to arrange a cab for me .							
Poor serviceNot friendly assistance .							
"ROOM and SERVICE ,  our room was obviously not one of the renovated ones ."							
"Room service is expensive but good, the food was delivered hot and was tasty but was chosen from the current uninspired Holiday Inn room service menu, when I ordered a £6 ."							
"Service was a joke , ,  the  evening concierge  doubled as the day doorman and was not very knowledgeable about anything , ,  honestly, the last thing I want to hear when I ask about cool pubs to go to is  why don't you go to the bar in the hotel ?"							
"Service was friendly, our room was on the highest floor  , but that wasn't a problem because of the lifts, and we had a great view of the city from the room ."							
"Staff were mostly ethnic origin, presenting a couple of communication problems at check in   room service was slow and fairly bland   and we noticed a lack of acknowledgement by any staff as we walked around the premises, again unusual for such a high profile company ."							
Stayed in room 516 right at the end of the corridor was next to a services room from which there was a constant generator   fan noise .							
the atmosphere is such that they are always right and that a customer is doing them a service by staying at the hotel .							
"The Holiday Inn Kensington Forum is fine if you like large, impersonal hotels with mediocre service, overcrowded breakfast rooms and don't mind tired decor ."							
"The room was quiet, clean, the bed and pillows were comfortable, and the service was adequate ."							
There are no bottle openers or cork screws in the room so ask room service for them if you need them .							
This hotel is located in an excellent area of London and is just around the corner from Gloucester St tube station which has excellent service to all the tourist sites .							
"We are low maintenance so we didn't have to request service much, but when we did it was fine ."							
We found the front desk service unfriendly and indifferent .							
"We had one evening meal in the ground floor restaurant, well cooked again, but the service was very slow ."							
"We took a private car service from airport to hotel, and it cost 55 pounds ."							
"Well, located and good service ."							
What brings down my rating for the hotel is their service .							
"When we wanted to watch a pay per view movie, was informed by reception there was a problem ,  it later transpired that we had been given an Aircrew room, where there is no mini, bar, pay per view movies turned off at reception, no menu's or room service available ."							
